Date,Open,High,Low,Close,Volume
2010-01-04,415.75,426.25,413.25,418.5,140553
2010-01-05,417.25,420.0,415.25,418.75,80967
2010-01-06,418.0,422.0,416.0,421.75,96453
2010-01-07,421.0,424.0,414.5,417.5,137395
2010-01-08,417.5,423.75,415.0,423.0,137395
2010-01-11,421.75,425.0,418.0,422.5,137395
2010-01-12,419.0,419.0,392.5,392.5,137395
2010-01-13,384.5,385.25,368.0,384.0,301566
2010-01-14,382.25,382.75,376.5,381.0,150818
2010-01-15,379.0,379.75,369.5,371.5,164273
2010-01-19,371.5,375.25,367.75,369.25,125418
2010-01-20,369.25,370.5,362.25,368.0,117028
2010-01-21,369.0,372.0,364.0,372.0,117638
2010-01-22,372.5,372.75,363.5,364.75,116246
2010-01-25,366.75,369.25,365.25,367.75,83425
2010-01-26,367.75,369.0,360.25,362.25,106613
2010-01-27,362.25,363.5,358.25,358.25,86413
2010-01-28,359.0,363.0,357.75,361.75,104224
2010-01-29,361.75,363.5,355.25,356.5,131890
2010-02-01,356.25,360.75,355.5,359.0,112634
2010-02-02,359.0,367.25,358.75,365.0,146992
2010-02-03,365.0,368.25,352.75,353.0,171750
2010-02-04,355.75,359.0,349.0,354.0,163425
2010-02-05,354.25,355.5,347.5,351.5,164659
2010-02-08,354.0,362.0,353.5,356.0,148576
2010-02-09,355.75,363.5,354.75,358.5,196600
2010-02-10,358.75,365.5,355.25,361.75,169470
2010-02-11,361.75,365.0,359.5,363.25,134275
2010-02-12,363.5,364.25,357.5,361.5,101557
2010-02-16,362.25,368.75,362.0,367.25,126169
2010-02-17,367.0,368.0,359.5,360.0,86665
2010-02-18,360.5,361.5,355.5,357.25,98889
2010-02-19,355.0,360.5,353.25,360.0,97358
2010-02-22,360.0,376.75,360.0,371.5,192526
2010-02-23,370.0,373.0,367.25,367.75,113231
2010-02-24,367.75,376.0,367.5,375.25,73542
2010-02-25,374.75,375.0,369.25,372.25,77961
2010-02-26,372.0,380.0,372.0,378.0,47785
2010-03-01,378.0,381.0,369.25,370.75,32859
2010-03-02,371.0,373.5,365.25,370.5,28409
2010-03-03,370.0,377.75,366.75,375.75,24319
2010-03-04,375.0,375.0,369.25,372.0,20347
2010-03-05,373.0,377.0,364.25,364.75,16347
2010-03-08,367.0,367.75,362.25,364.5,11798
2010-03-09,364.5,364.5,358.0,358.75,11569
2010-03-10,359.0,360.5,352.5,355.5,6883
2010-03-11,356.75,357.75,352.0,355.5,4818
2010-03-12,356.25,357.25,353.25,354.0,71322
2010-03-15,365.0,366.25,362.0,363.25,74189
2010-03-16,363.75,369.0,363.0,366.75,75425
2010-03-17,367.75,374.5,365.0,374.0,87013
2010-03-18,373.0,376.5,369.0,376.0,83044
2010-03-19,375.25,376.25,371.5,374.5,58909
2010-03-22,373.5,376.25,370.5,370.75,73826
2010-03-23,371.0,372.25,362.5,362.75,104624
2010-03-24,363.25,366.5,359.0,365.0,77811
2010-03-25,364.5,366.5,354.0,355.0,102042
2010-03-26,355.25,358.0,355.0,356.25,67136
2010-03-29,356.0,360.0,354.75,357.0,89062
2010-03-30,356.5,359.0,351.75,354.5,134295
2010-03-31,353.75,354.5,344.25,345.0,126262
2010-04-01,345.25,349.0,343.5,344.5,589
2010-04-05,344.75,347.25,343.75,345.75,79432
2010-04-06,345.75,349.75,344.25,346.5,89924
2010-04-07,346.75,359.0,343.75,356.5,186180
2010-04-08,355.0,355.75,346.25,348.25,146831
2010-04-09,348.25,352.0,344.0,345.75,112702
2010-04-12,346.5,351.25,345.5,348.25,138115
2010-04-13,347.75,353.5,345.25,352.5,183842
2010-04-14,352.0,363.75,351.5,358.0,223855
2010-04-15,357.5,363.75,356.0,363.25,115369
2010-04-16,362.0,365.0,358.5,364.0,109384
2010-04-19,362.5,363.0,347.75,347.75,107934
2010-04-20,349.25,356.5,349.25,355.5,96888
2010-04-21,355.25,363.25,355.25,359.25,104079
2010-04-22,358.75,363.0,356.0,362.25,73359
2010-04-23,360.75,362.5,352.0,353.0,98676
2010-04-26,353.0,359.5,352.0,352.25,92137
2010-04-27,352.25,353.5,345.0,347.5,85029
2010-04-28,348.5,361.75,348.25,357.0,71517
2010-04-29,356.75,370.0,356.75,360.5,78456
2010-04-30,361.0,366.75,360.25,366.25,26530
2010-05-03,366.0,369.0,360.5,362.75,17483
2010-05-04,362.25,362.75,353.5,360.0,16371
2010-05-05,360.0,364.75,354.5,364.75,14167
2010-05-06,365.0,372.75,361.0,364.0,10329
2010-05-07,362.25,367.75,360.75,364.75,5188
2010-05-10,363.75,369.75,361.75,363.0,4549
2010-05-11,362.0,370.0,358.0,369.75,1923
2010-05-12,369.5,379.0,367.75,371.75,3604
2010-05-13,370.25,373.75,365.75,366.5,1326
2010-05-14,366.5,366.5,356.0,356.75,127487
2010-05-17,364.0,364.5,355.5,356.0,112705
2010-05-18,358.0,362.75,357.0,359.75,104868
2010-05-19,359.75,363.25,353.5,359.25,115468
2010-05-20,360.0,363.0,354.25,362.0,112279
2010-05-21,362.0,372.5,359.0,369.0,147199
2010-05-24,368.5,372.75,367.75,371.0,96250
2010-05-25,369.0,370.25,362.5,364.25,122528
