,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,35.832172,40.21512,1.8324717,18.106699,2.486016,328.9752,59.804787,95.82454,98.78883
2594,37.00856,42.57187,1.8064386,17.716543,2.5246062,331.56195,60.69864,94.986534,99.53982
2595,37.053856,42.367302,1.8013422,17.692707,2.5443165,333.46637,60.66207,94.61165,99.51634
2596,38.19681,41.11506,1.7638059,17.77143,2.5780344,329.92038,60.19302,94.94572,98.88564
2597,38.398678,42.187466,1.7971624,17.834782,2.6293747,327.71103,60.045982,96.810104,97.71298
2598,37.483707,39.855206,1.8099008,18.008259,2.6100807,329.277,59.63626,97.109146,96.68841
2599,37.11716,38.668385,1.7591529,18.034393,2.6152763,329.9438,59.572914,97.16777,95.741745
2600,36.88718,39.5775,1.6937518,17.75811,2.5850954,330.1298,59.108418,97.05253,94.82859
2601,37.34406,40.574394,1.6495618,17.624687,2.5777924,330.55893,59.07153,96.98193,94.02026
2602,37.526093,40.703674,1.6464231,17.632605,2.587789,330.6212,60.102165,96.402466,95.813255
2603,37.954674,41.902626,1.6535044,17.422562,2.5932736,331.8896,60.566593,96.30345,95.06181
2604,38.13505,42.2074,1.6872377,17.688648,2.6014218,332.26672,60.826366,95.24505,94.419304
2605,39.41997,43.21801,1.6713301,17.951296,2.6400435,329.5393,61.317066,95.37162,95.79469
2606,39.811184,43.323307,1.6666231,18.048244,2.660385,327.56445,61.986202,94.37676,96.56762
2607,39.015255,41.308636,1.632807,18.111074,2.6627614,326.62488,61.742226,93.77906,96.616264
2608,39.272923,41.29891,1.5391483,18.087135,2.6598647,320.93237,61.802605,94.34858,95.90963
2609,38.508564,40.851486,1.5159719,17.956095,2.6618361,318.20615,60.589016,94.952354,96.15098
2610,39.312813,41.11943,1.6766396,17.868069,2.675643,324.53522,60.15474,95.84213,98.0186
2611,39.3146,41.34876,1.7613913,18.12818,2.69054,335.6412,60.59224,93.7726,99.8021
2612,39.177563,41.10566,1.7012174,18.17654,2.711278,346.10684,61.4431,96.34763,102.54314
2613,40.085175,42.691914,1.738353,18.26278,2.7230642,344.37704,61.80736,98.48271,102.68115
2614,39.814293,43.520752,1.8177105,18.497427,2.7556343,345.6,62.328007,100.57587,99.07445
2615,40.279743,43.23484,1.8719614,18.596886,2.7725058,346.23965,62.732067,100.58917,99.40155
2616,40.677803,43.655273,1.8354255,18.741076,2.7933884,348.12344,63.513622,100.04987,99.35361
2617,40.03054,43.265205,1.7954124,18.8967,2.8222332,351.83423,63.12808,98.7629,98.39539
2618,40.362762,42.85226,1.8168905,18.852852,2.8641405,344.61066,63.82257,99.46956,96.89063
2619,40.0653,42.913143,1.7798108,19.124155,2.9150095,338.25943,63.759098,99.158844,97.847984
2620,40.47626,42.595764,1.7809801,19.423227,2.929439,337.04495,63.068214,99.3098,97.507835
2621,40.81049,43.086784,1.8026519,19.57661,2.8988445,328.65918,62.701748,100.38085,97.14938
2622,40.586346,43.380707,1.7683185,19.548206,2.888974,329.68753,62.962112,102.22655,98.003685
2623,40.490643,43.305233,1.7543486,19.665648,2.8836982,333.3724,62.274128,102.66496,100.4311
2624,40.713757,43.29202,1.7016006,19.795519,2.8982568,330.84622,62.574333,102.41327,99.37706
2625,41.284576,44.028095,1.7057163,20.54317,2.930067,327.22476,62.87037,102.266556,100.88363
2626,41.350452,44.322613,1.6983658,21.70686,2.914488,327.2562,62.68001,101.92769,106.72931
2627,41.453632,43.793053,1.7834795,22.297499,2.9148297,327.3068,61.99795,101.19768,107.850716
2628,41.347885,43.40476,1.8345166,22.674833,2.893033,327.03876,61.007652,100.85866,108.41668
2629,41.496433,43.128906,1.7910234,23.474258,2.8880625,326.0588,61.069412,100.31499,110.83408
2630,41.593853,43.170696,1.7880082,23.809372,2.8901656,322.72998,61.089302,100.842735,110.12395
2631,41.212776,43.3591,1.8436552,24.021572,2.8988917,318.206,61.164745,101.20319,110.73235
2632,40.945957,43.15022,1.8605249,23.859356,2.8999295,316.88647,62.406273,101.82061,114.62231
2633,40.43991,42.967102,1.8268201,24.04744,2.8652675,315.27814,62.239357,102.397446,118.0305
2634,40.648605,43.17479,2.0276477,24.10458,2.884951,316.57,63.041492,102.83798,118.008415
