,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
2593,89.42577,124.523346,53.067318,62.24866,40.56118,85.70116,33.765358,100.23905,47.475273,48.83318
2594,89.01112,126.453926,53.44615,63.249706,41.36263,85.78049,34.003513,99.512886,48.312534,51.088505
2595,90.80556,129.01569,54.636295,63.217903,42.1204,85.55792,34.19759,102.16231,49.20238,53.041115
2596,90.70039,127.469246,54.49978,63.235363,42.056602,87.70082,34.238705,102.52409,49.301662,53.055336
2597,90.643684,125.588104,54.035477,63.104706,42.05064,87.81852,34.157677,103.00468,48.86522,51.16573
2598,89.1122,117.15999,51.95197,60.786213,40.154953,85.85707,32.990963,101.82217,47.180714,48.260017
2599,88.37224,117.44116,51.63355,59.614586,39.569828,84.94919,32.05587,101.396194,46.13351,47.22803
2600,89.23985,117.15062,52.508945,59.46603,39.72375,84.976105,31.579681,101.76567,46.170315,47.68811
2601,89.82723,120.237045,53.977295,59.352524,40.63973,86.010315,31.52752,102.45258,46.431786,48.384636
2602,90.08661,120.213104,52.561047,59.882427,40.936275,88.167725,31.886318,102.723045,46.63755,48.268356
2603,90.88326,120.51086,52.782276,59.7694,41.44237,89.275505,31.153915,104.086334,46.6273,47.64374
2604,90.45318,118.051216,53.77404,59.402554,40.69202,90.60594,31.695017,105.0186,45.947002,46.666843
2605,90.47819,116.657036,54.969193,58.99884,40.267982,90.846016,31.603348,105.52711,45.64998,46.73986
2606,89.70975,114.73923,54.95202,58.891224,40.21216,90.32097,31.333214,106.10673,45.71365,46.86449
2607,88.901695,112.72858,54.510487,58.80032,39.811184,89.71974,30.842768,106.99828,45.30776,45.315212
2608,88.309044,114.62906,54.492695,58.686707,39.826393,89.79712,30.555197,108.44482,45.10278,45.725067
2609,89.031166,113.365005,54.268597,57.580994,38.96179,88.33469,30.152924,107.106285,44.441616,44.873962
2610,88.56356,114.57757,54.812416,57.95971,38.938423,87.76249,30.584667,106.45505,44.35978,45.337704
2611,89.56182,115.447556,55.087414,58.355274,39.1311,86.977905,30.728704,104.002075,44.387905,45.668026
2612,90.32019,115.299736,54.806683,58.588066,39.196945,87.40268,31.912424,104.50921,44.47499,44.865047
2613,91.09035,115.41594,55.70052,59.111187,39.48637,87.2031,32.41394,104.245155,44.40274,45.249054
2614,91.98569,115.791626,56.22773,59.202957,39.49218,88.01196,32.43292,105.02756,44.813423,45.324257
2615,92.49391,114.36777,56.35003,58.56518,39.73822,88.31297,32.382263,104.97343,45.333656,44.30686
2616,92.297585,113.85269,56.81952,58.447033,39.76797,88.72978,31.807064,105.36199,45.50951,43.811184
2617,92.60617,113.404945,57.086555,58.086456,39.14379,87.936226,31.781532,105.920944,44.587517,42.325073
2618,92.55355,113.621414,57.17869,58.829357,39.797245,87.16296,32.051678,106.594635,44.72121,42.749332
2619,92.41139,115.127655,57.178913,58.77145,40.05863,86.32566,32.649082,104.95991,45.022083,43.078598
2620,93.05749,116.26597,57.2926,59.050907,40.709843,86.637505,33.433598,105.304794,45.643238,44.03252
2621,95.27566,119.144745,56.874638,59.26058,40.896137,87.41586,33.80269,104.10421,46.039165,44.745495
2622,95.40075,119.81537,56.33034,59.214294,41.44134,87.2153,33.613747,104.762924,46.269485,45.031647
2623,96.72882,120.51838,54.828773,59.166176,41.25446,88.1029,33.756706,104.43355,46.447704,44.211163
