,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,35.829174,40.159313,1.8009199,18.02971,2.502957,327.77032,60.03105,94.99313,98.72569
2594,37.646374,41.3457,1.8046046,17.650885,2.5429742,331.45987,60.649147,94.142914,99.05825
2595,37.81429,41.298004,1.7915945,17.708557,2.561551,333.76535,61.22279,94.17221,98.99847
2596,38.006516,41.339386,1.7908807,17.657003,2.5923705,330.7028,61.15784,95.46988,98.65008
2597,38.661556,41.594414,1.7858769,17.648584,2.6453457,328.13144,60.967804,96.6589,98.081024
2598,37.902134,39.534157,1.8240986,17.818882,2.610999,329.6987,61.02079,96.8411,97.12179
2599,36.66058,39.414413,1.7715389,17.693916,2.623469,330.33038,60.85,96.412834,96.22235
2600,36.817333,39.62903,1.7075695,17.550016,2.594668,330.13235,59.80889,96.77326,95.28182
2601,36.945705,40.192265,1.6707481,17.6044,2.5876074,330.1705,60.098633,95.96479,94.46207
2602,37.24851,40.800533,1.6385463,17.63979,2.6026392,330.7312,60.737156,96.78313,95.4801
2603,38.310284,41.41557,1.6520274,17.503256,2.598438,331.15167,61.506924,96.20645,95.048225
2604,38.539738,42.02827,1.674043,17.755663,2.6161873,332.50256,61.552345,95.15483,94.207466
2605,39.697277,42.95972,1.6734232,17.803625,2.6448412,329.10263,61.844177,94.82711,94.996284
2606,40.215595,42.740498,1.6596419,18.049105,2.6615405,326.52988,63.025585,93.93397,95.82785
2607,39.422726,41.139336,1.6318953,17.946142,2.6579661,324.9081,62.69909,93.94055,96.69484
2608,39.2793,41.207386,1.5506281,17.923683,2.677196,319.69235,62.128387,94.46107,96.16081
2609,39.03517,41.064434,1.50862,18.013046,2.6745121,317.53348,61.68119,94.98987,95.84691
2610,39.189766,41.00285,1.662322,17.96479,2.68367,323.3502,61.13799,95.71184,97.48567
2611,39.12074,41.490864,1.7439003,18.31076,2.704551,333.18018,61.302383,93.732704,99.230225
2612,39.346195,41.486744,1.7052748,18.192194,2.7160268,344.29465,61.970993,96.94855,101.65239
2613,39.738697,42.29882,1.7246481,18.244171,2.7334495,343.4218,62.927406,98.96022,102.12859
2614,40.31072,43.19736,1.79337,18.488155,2.7604418,344.70367,63.240364,100.03116,99.117195
2615,40.677567,42.98392,1.8706092,18.608307,2.7816017,345.83212,63.3903,100.37201,98.59575
2616,40.779476,43.317997,1.8502498,18.91875,2.8112032,347.43457,64.0366,99.64356,98.85834
