,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
2593,90.9739,123.759125,53.21623,62.327328,40.24139,85.92318,33.860535,99.276566,47.76175,48.675564
2594,90.54431,125.69199,53.896667,63.361427,41.184246,85.88247,34.04778,100.69505,49.24074,51.020046
2595,91.00261,128.48048,54.73055,63.889366,42.38433,86.02161,34.355396,102.81227,50.210716,52.932343
2596,90.31783,126.97932,54.58545,63.826824,42.307842,87.41411,34.141155,103.33422,49.96651,53.068123
2597,90.67039,125.035095,54.3943,63.674362,41.993256,87.938194,34.17332,104.102936,49.375015,51.87161
2598,89.019646,118.07827,52.334877,61.49915,40.54825,85.94204,32.58758,102.75983,46.769447,49.31845
2599,89.589966,117.65557,52.03192,59.75625,39.74073,84.79184,31.846289,102.94822,46.084427,48.026886
2600,89.287125,117.10164,52.63089,59.531937,39.97685,85.496254,31.483326,103.58088,46.38059,47.44337
2601,89.30695,120.02668,53.962017,59.46833,40.82776,86.134476,31.484447,101.81269,46.854973,47.7884
2602,89.673164,119.28786,52.845173,59.794724,41.217262,87.99907,31.555353,102.023384,46.730938,48.489254
2603,89.75461,120.31378,53.501743,60.193027,41.596207,89.14228,31.738773,104.60862,47.495964,48.433067
2604,91.029564,117.25095,53.724957,59.77106,41.499134,90.46807,31.523376,106.438644,46.502182,47.798634
2605,90.94044,117.04946,55.07903,59.540497,40.605293,90.99596,31.413532,107.89237,46.47342,47.007183
2606,91.31375,114.52065,55.32226,59.57497,40.28743,90.791336,30.993883,107.349945,45.81137,46.285603
2607,88.70623,112.52821,55.064045,59.130768,39.93158,90.284485,30.62907,106.81322,45.17868,45.677334
2608,89.010956,113.44642,54.695923,59.07917,39.88352,90.21575,30.478884,108.597855,45.431152,45.73554
2609,88.03691,112.56807,54.522114,57.84905,39.32148,88.33233,30.380962,106.7048,44.59832,45.489544
2610,88.46123,113.50539,54.606407,58.012775,39.376583,87.420364,30.829538,106.837654,44.57096,44.916565
2611,89.74977,114.91333,55.33156,58.58326,39.39978,87.23483,31.349861,105.17639,44.661182,45.508198
2612,90.713264,115.09715,55.401653,58.974026,39.154686,87.49316,31.460976,104.77125,44.87125,44.67777
2613,90.520935,114.18861,55.72269,58.947704,39.491768,87.602,32.20022,105.30368,45.051594,45.330566
2614,91.69636,115.06264,56.36782,59.32166,39.60506,87.72109,32.620224,105.76498,45.95354,44.743614
2615,92.04604,112.18501,56.686363,58.609825,40.314377,87.72934,32.145977,105.110085,45.770462,43.71593
2616,92.65306,112.740364,57.074013,58.93661,40.07362,88.60783,32.14365,105.17021,45.935177,43.832428
2617,93.33834,111.63039,57.196053,58.891018,39.32214,87.74928,32.10118,105.239395,44.627445,42.610935
2618,92.655525,112.80125,57.31805,59.07632,39.800972,87.58328,32.037445,106.778206,44.78625,43.47552
2619,92.984566,115.14641,57.508472,59.063347,39.9998,86.85409,33.03187,105.665535,45.47831,42.775005
2620,93.70693,115.67697,57.21552,58.570847,40.694695,87.00993,33.248974,105.75839,45.795933,43.73949
2621,94.91625,117.9084,57.025917,58.685707,41.141506,87.474266,33.61003,105.56448,46.623108,44.810196
2622,95.71605,118.313545,56.608223,59.525196,41.04319,87.07624,33.77291,104.9658,46.720406,45.587963
2623,97.414276,119.71635,55.418335,59.40475,41.662647,87.205215,33.86802,105.04647,47.20047,45.375244
2624,97.42688,119.942215,55.12866,61.010426,40.964417,88.10915,34.42564,104.91938,46.97016,43.798347
2625,98.234985,120.476456,55.46194,60.804047,41.091106,86.87733,34.66909,105.11431,47.358818,44.015495
2626,98.46511,122.27778,55.80279,60.841423,41.469017,86.56265,35.666454,104.84698,48.086777,43.88579
2627,99.57242,122.383644,55.97026,61.04329,41.568752,85.59844,36.428665,104.98026,48.748783,44.631866
2628,99.46539,121.401955,55.840855,55.8553,41.817802,84.86854,36.107754,105.48108,48.75651,44.68991
2629,99.52416,121.11254,55.46677,51.772175,41.89689,84.22708,35.911625,105.643,48.922817,44.758858
2630,99.60863,120.82676,55.337563,49.26797,42.464375,84.205574,36.53441,105.31539,48.794323,44.808537
2631,101.12227,120.21143,55.747437,47.411545,41.958633,84.027336,36.803158,106.87908,48.45191,44.672276
2632,100.52203,119.27031,55.631874,47.29458,41.727573,84.3454,36.669487,106.54371,48.4987,43.94557
2633,100.56326,118.584625,55.599148,48.389984,41.388866,82.90787,36.396336,107.02285,47.810303,43.680115
