,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,36.714478,39.855915,1.8423113,18.081972,2.489933,329.9656,59.533535,96.14175,98.634026
2594,38.322037,40.66165,1.7960714,17.768625,2.5236454,331.9615,60.617836,95.346535,98.619026
2595,38.941257,41.00679,1.811618,17.708052,2.5517,333.66098,60.833992,94.84597,99.20095
2596,39.04613,41.838776,1.7863986,17.770864,2.5771856,331.00787,61.052002,96.07748,98.432274
2597,39.4011,41.236305,1.8012179,17.733036,2.6250355,328.8356,60.246582,96.96312,97.81139
2598,38.88637,40.194756,1.8231022,17.808594,2.6011853,331.10168,60.154255,97.33461,97.28579
2599,37.50335,39.63225,1.7753931,17.751425,2.5995579,330.23776,59.993122,96.5238,95.94664
2600,37.622185,39.197815,1.7222458,17.688948,2.5906968,330.42737,60.221462,96.60398,94.83241
2601,38.09347,39.849174,1.641186,17.695934,2.5766106,331.0787,59.99105,97.20483,94.19721
2602,37.947533,40.274002,1.6504848,17.695036,2.5932148,330.56564,60.62664,97.0772,95.476204
2603,38.52531,40.75515,1.6531385,17.516645,2.5912747,332.1842,61.154034,96.24204,94.762085
2604,38.79082,41.69425,1.6851213,17.680395,2.6154146,331.3057,61.48143,95.661804,94.07887
2605,40.01381,42.737362,1.6958175,17.66654,2.6343796,331.37207,61.756584,95.12997,94.85417
2606,40.562298,42.190376,1.6788251,17.966002,2.6479583,328.98944,61.994015,94.452126,95.99671
2607,40.153263,41.857075,1.6508595,17.852888,2.657489,327.2556,61.92615,94.2367,97.053406
2608,39.961784,41.717278,1.5640155,17.91325,2.654921,323.7357,61.8649,94.67059,96.09176
2609,39.431896,40.95709,1.5637187,17.993446,2.6666574,320.17636,60.932095,95.237305,95.42787
2610,39.784344,41.3991,1.669581,17.890665,2.6756265,322.37506,60.573235,95.68667,97.30259
2611,39.806595,40.82031,1.7336884,18.118845,2.6945693,330.5319,60.799583,93.850914,99.18683
2612,39.676376,40.975967,1.7141744,18.089903,2.7094839,340.94382,61.911674,96.215836,101.5516
2613,39.791157,42.046482,1.7443379,18.147554,2.7264357,342.0359,62.410854,99.11993,101.769005
2614,40.46159,42.568523,1.8125409,18.241196,2.7446368,344.34796,62.75819,99.93689,98.865845
2615,40.90594,43.188667,1.866878,18.519424,2.7752905,344.59946,63.182587,100.027794,98.38923
2616,41.335167,43.169113,1.857707,18.82508,2.7960947,346.50894,63.906124,99.64137,98.34332
2617,41.182262,42.863533,1.8119386,18.813417,2.8166156,350.53577,63.43701,99.75364,98.36179
2618,40.657043,43.296192,1.8147898,18.763054,2.8535948,345.75867,63.71884,99.80594,98.124535
2619,40.89646,42.582836,1.7852801,19.206045,2.9089296,341.70322,63.36042,99.61824,97.71796
2620,41.126587,42.50879,1.7745925,19.327644,2.918061,338.69806,62.861725,99.286224,97.32222
2621,40.758465,42.98983,1.7978005,19.400944,2.8832328,333.61563,62.54925,100.8731,97.20646
2622,41.118557,43.009937,1.7726641,19.481644,2.8850312,332.32806,63.356968,102.80212,97.77144
2623,41.038048,43.0073,1.752845,19.521107,2.8860302,333.25305,62.33313,103.58699,99.54845
2624,40.69552,43.3319,1.678102,19.770735,2.8961167,333.8689,62.918114,102.740425,99.14747
2625,41.878056,43.90063,1.681083,20.751469,2.9298236,330.35226,63.179302,102.25307,100.18332
2626,42.080654,43.988583,1.7056506,21.958727,2.911378,328.59503,63.045845,102.40313,104.14124
2627,42.075294,43.85238,1.7858613,22.452274,2.9173713,329.51544,62.2442,101.660904,106.67282
2628,41.636818,43.39042,1.8180559,22.596594,2.8969362,328.60046,61.483223,101.577965,108.48675
2629,42.076668,43.495037,1.7833307,23.592955,2.8869724,327.62665,60.91412,101.0619,108.96832
2630,41.822056,43.11582,1.8025649,24.037,2.8963969,325.77975,60.808056,101.18796,108.67911
2631,41.91828,43.06043,1.8464016,23.98077,2.9006362,321.39938,60.7865,101.50584,110.45321
2632,41.229816,43.177895,1.8522562,23.637758,2.906195,319.1657,62.101437,101.900276,113.42582
2633,40.75338,43.27863,1.827212,23.898186,2.8759646,317.94528,62.166546,102.92103,116.433685
2634,40.96558,43.21355,2.0014725,24.1564,2.878926,317.20886,62.98124,103.08075,117.17968
2635,41.655563,43.667156,2.1084483,25.24525,2.8926346,314.37277,63.718777,102.732285,120.5093
2636,42.066883,44.25808,2.1504254,26.382753,2.9029686,314.13065,63.830418,102.699455,120.797806
2637,41.966694,44.878925,2.1617925,27.638327,2.9065008,312.5562,63.67941,103.08517,119.067116
2638,41.99569,44.60773,2.2069259,27.668274,2.8341408,308.6365,63.137142,102.953415,117.992424
2639,42.151993,44.70081,2.1846385,28.650753,2.8345153,307.9757,62.49316,103.575424,113.94177
2640,42.31325,44.53203,2.16376,27.687302,2.8644018,312.6654,62.649864,104.506454,111.61367
2641,42.833084,44.89322,2.1435168,26.457117,2.886155,314.5494,62.20888,105.91894,112.30463
2642,42.697327,44.985012,2.1632645,27.281221,2.8448322,319.40402,62.189236,107.003174,114.63994
2643,42.27269,44.848972,2.2766223,26.784718,2.837102,322.80118,62.44469,107.40977,115.216545
2644,42.805714,44.901974,2.3102856,27.557726,2.8752878,326.7907,62.62875,107.127655,115.90393
2645,42.909157,45.048553,2.3565009,28.0526,2.9467337,327.268,62.69117,106.9906,117.50475
2646,43.272114,45.176342,2.3941133,28.22785,2.9888158,328.98856,62.983173,107.648766,117.81492
2647,43.103455,44.92228,2.3479357,27.551594,2.9860506,328.28464,62.786453,107.441154,118.216125
2648,43.028763,44.724373,2.394079,27.524935,2.92661,327.5699,63.02605,106.479164,119.25714
2649,42.847168,44.96387,2.4387448,26.925219,2.9102757,329.69965,63.6186,106.090485,119.44636
2650,43.46313,45.181656,2.4624732,26.845657,2.933287,335.63403,64.32747,105.98734,120.92832
2651,43.693054,45.076557,2.4590642,26.930925,2.950367,339.6074,64.24697,105.01128,123.23922
2652,43.446995,45.20342,2.5239713,26.820345,2.9583669,344.28064,64.443565,103.85458,123.15343
2653,43.19247,45.062073,2.583336,27.642523,2.9936981,345.43164,64.67549,103.76607,125.47729
2654,43.256557,45.01247,2.582941,27.814184,3.0127919,348.30634,64.31355,104.7391,128.72687
2655,43.30477,44.960606,2.5306191,28.325274,3.0177457,350.43085,64.373116,105.74642,130.1666
2656,42.914967,44.65129,2.4629536,28.07242,2.9955919,351.2624,64.297554,105.2803,131.39049
2657,42.39452,44.500294,2.4646094,26.942345,2.988288,351.04974,64.02756,104.73591,131.60866
2658,41.38195,43.775997,2.5214875,26.517424,3.0028307,351.19016,63.860023,104.946815,133.89746
2659,39.800064,41.896667,2.4507735,26.364653,3.0260608,351.70914,63.643356,105.78425,133.56502
2660,39.28739,41.21867,2.3960168,26.571629,3.0272923,352.84335,63.57463,105.360916,131.61304
2661,38.72118,40.336273,2.344175,26.690054,2.995006,355.16104,63.42826,105.26903,132.59045
2662,38.387306,40.072594,2.2829702,27.085476,3.023477,362.6665,63.806065,105.70572,132.64441
2663,37.778934,39.65098,2.2613485,27.207483,3.0522656,362.4484,64.48275,106.75417,127.02078
2664,38.199467,39.96472,2.3288217,27.280842,3.0626485,364.45193,64.58657,107.28738,123.424995
2665,39.198368,40.965218,2.2833571,27.51316,3.0520449,369.2378,64.731606,106.97182,120.66598
2666,40.20985,41.88357,2.1248581,27.002916,3.057637,372.67606,64.46523,107.10201,118.54299
2667,41.31559,42.59226,2.0696173,26.437391,3.091155,376.36862,64.32171,107.61634,116.21671
2668,40.7242,42.411697,1.9028405,25.061302,3.0637002,375.19485,64.03337,107.33433,113.91823
2669,40.710884,42.211323,1.8667743,24.543133,3.0484495,371.66107,63.862324,106.89692,111.33641
2670,40.781067,41.949078,2.034444,23.487652,3.0117176,371.25952,63.616154,107.31345,112.152245
2671,41.130245,42.10384,2.1661315,23.144516,2.982465,367.4837,63.75497,108.07177,111.86932
2672,40.88517,41.716354,2.1475666,23.210793,2.9866014,367.99884,64.260956,107.958145,112.3407
2673,40.554493,41.983185,2.1102698,23.189228,2.9794204,367.2021,64.24449,108.09836,111.72316
2674,40.075653,41.588165,2.389433,23.932817,2.9845996,367.55005,64.14655,108.92172,110.55483
2675,40.094337,40.935867,2.4710014,23.48641,2.9995794,374.06125,64.225174,108.94768,109.829025
2676,40.02493,40.65087,2.5214806,23.76616,2.9272678,378.57272,64.09486,108.69183,108.06263
2677,39.332726,40.360878,2.4614515,23.685816,2.9400668,378.2825,64.26039,108.52033,108.54925
2678,39.13656,40.73882,2.5282393,24.37062,2.9540524,379.73514,64.03471,108.94753,108.32819
2679,39.88078,41.35421,2.520052,23.659447,2.965607,383.71405,64.3492,109.42969,107.41615
2680,40.409702,41.513336,2.5520508,23.858305,3.0132806,386.92178,65.04844,110.05817,109.16478
2681,40.677666,42.05635,2.603688,23.751282,3.0334406,385.8448,65.553116,109.98694,110.64046
2682,40.686474,42.16869,2.6827018,24.476171,3.0492637,390.89914,66.29004,110.106766,111.5381
2683,40.596718,42.200172,2.8032527,24.891745,3.0724988,390.39056,67.147285,109.26807,110.4323
2684,40.46695,42.335598,2.781323,24.453276,3.0359538,390.58997,67.65511,109.085266,110.6847
2685,41.08485,42.78704,2.6384053,24.477385,3.0588863,395.11218,67.91312,108.82743,109.51541
2686,41.89504,43.318157,2.7276826,24.204521,3.0612764,398.52505,68.308205,108.30866,109.879555
2687,41.09543,43.00048,2.7412417,24.417118,3.0694256,400.1704,68.3327,107.914444,109.200775
2688,41.09544,42.848186,2.7762458,24.459572,3.082098,403.57275,69.34319,105.635124,106.79682
2689,41.372738,43.091312,2.8163807,24.75469,3.108783,405.9977,69.92725,104.782715,104.987076
2690,41.247974,42.228653,2.9276633,25.051981,3.1660583,412.94357,70.08235,104.50836,104.413704
2691,41.197563,41.94975,2.939716,24.942097,3.1757817,413.98737,70.585594,104.108154,105.13354
2692,41.214348,41.9455,2.927725,24.869143,3.1248717,416.88702,70.89154,104.00977,105.5011
2693,40.10309,41.4721,2.9349291,24.74958,3.105568,419.07574,71.15612,104.31182,105.82713
2694,39.906895,41.22988,2.9405515,24.572643,3.0756204,417.23218,71.2348,105.305504,105.88424
2695,39.509388,40.286148,2.963694,23.612474,3.0799587,411.83386,70.5575,106.158325,105.24696
2696,38.315693,39.00415,3.122211,23.43109,3.053177,406.26257,70.08004,106.47972,104.369194
2697,37.125195,37.98633,3.2507417,23.610243,3.043487,401.12122,69.62055,106.38051,104.665245
2698,37.58949,37.574593,3.2152753,23.68015,3.0598955,398.5597,69.190544,108.170204,103.36944
2699,37.60102,38.477005,3.1051178,24.136433,3.0723786,402.33154,69.626465,108.31301,102.399734
2700,38.3333,39.583435,2.9919636,24.086552,3.1059504,402.97116,69.95989,108.063805,103.28524
2701,39.102077,40.213226,2.9078321,24.863567,3.0945387,406.50705,70.185814,108.37966,103.82271
2702,38.15028,40.39003,2.8611994,25.271317,3.114685,405.93347,69.84427,108.61729,105.863594
2703,39.0902,41.364464,2.8235776,24.48112,3.1534827,407.15546,69.990974,110.992935,106.51304
2704,40.95967,42.234745,2.884406,24.294159,3.1375191,415.9221,70.100494,111.766945,106.19514
2705,41.80516,43.365147,3.0008235,24.309448,3.1306796,416.37228,69.80318,112.26403,108.10951
2706,41.429913,43.40594,2.9587085,24.184402,3.1332884,413.54486,68.90993,112.2978,108.993744
2707,41.180183,43.239037,2.9783862,24.467854,3.1518633,410.83282,69.090324,110.86374,109.46508
2708,41.257034,43.759567,2.7554483,24.881931,3.2032156,412.21426,69.2694,110.61193,112.9461
2709,41.299683,43.402203,2.6769443,24.848074,3.1926913,415.37326,69.60016,111.273735,114.959145
2710,42.158913,43.754356,2.6747153,24.572823,3.189258,422.1774,69.8797,111.01096,117.97807
2711,42.082504,43.74988,2.5949187,24.244816,3.183907,422.0637,69.65227,109.32335,119.82695
2712,41.742252,44.26685,2.6342492,24.333248,3.253453,421.85,70.22037,108.63331,117.116234
2713,42.29852,45.05877,2.6941864,24.046656,3.257405,423.76056,71.515076,109.78726,114.841835
2714,43.81742,46.074577,2.7493417,23.272228,3.2738895,428.1152,71.5571,111.24162,113.45868
2715,44.782528,47.175644,2.8412926,23.431364,3.2925863,423.45514,70.6578,111.38941,113.03575
2716,44.943867,47.694466,2.8071547,22.918087,3.3613207,422.6253,71.04907,111.063965,118.51042
2717,45.56226,47.61271,2.8477309,22.561102,3.4001071,423.27594,70.85917,110.908005,121.14074
2718,45.004585,47.536858,2.8543274,23.410498,3.4474845,421.4447,70.514404,111.04587,118.155205
2719,45.629677,47.65538,2.80314,23.885279,3.4513054,418.19818,70.211105,111.17324,117.66726
2720,46.17197,48.1098,2.588871,23.908838,3.471468,419.54666,69.83883,110.11532,117.0009
2721,45.783775,48.738667,2.5945399,24.052788,3.4839494,419.52576,69.81214,109.35448,115.70353
2722,45.702507,48.853477,2.4376817,24.322279,3.5097456,421.91156,70.562225,108.8417,116.91101
2723,45.751236,48.62429,2.417535,24.38976,3.4830718,418.97296,70.11986,108.574394,116.110115
2724,45.798573,48.67864,2.4092941,23.971634,3.5025287,419.55002,71.42891,107.90896,114.99051
2725,46.429573,49.288307,2.49534,24.06786,3.5411391,420.54327,72.57191,107.96607,117.16537
2726,46.89629,49.46851,2.566883,23.99185,3.5437093,421.1538,73.62119,108.96147,118.48775
2727,46.816254,50.378735,2.6300104,23.868103,3.51173,419.35352,73.75503,109.51522,121.50341
2728,47.212452,50.471107,2.6855528,24.300581,3.5302498,421.12915,74.16962,109.3684,123.31815
2729,48.035076,50.561455,2.6795537,24.909735,3.5381906,424.6183,74.64616,109.30396,123.95682
2730,48.290894,50.665863,2.6513772,25.336624,3.5815413,428.89365,75.76792,109.74449,123.50328
2731,48.82527,51.407967,2.6893756,25.646992,3.601706,430.09973,76.08194,110.47668,124.24825
2732,48.524837,51.342674,2.677027,26.116745,3.5821967,434.5812,75.484886,110.74315,123.937416
2733,47.979176,50.781414,2.747018,25.695745,3.5216591,441.41232,74.98997,110.79627,124.16894
2734,48.38317,50.78214,2.6502478,25.591524,3.5301023,444.57416,75.79049,111.738106,124.8927
2735,48.47852,51.028732,2.5416088,25.595661,3.5510893,445.05792,76.13974,112.09676,125.67636
2736,48.459198,51.064415,2.3560555,26.06935,3.5540936,450.56607,75.92843,112.7247,125.566216
2737,48.090553,50.798126,2.419351,26.09547,3.5439053,458.25006,76.00402,112.48005,125.08596
2738,48.312664,51.06045,2.4104893,26.214859,3.542178,467.00253,77.277054,112.2936,124.657845
2739,48.52975,50.964153,2.496615,26.404236,3.511193,476.06635,77.53886,112.991585,126.778305
2740,48.620674,50.627594,2.5700643,26.767551,3.528064,480.5827,77.960144,112.73295,126.038155
2741,49.314083,51.88341,2.6458807,27.336723,3.6033325,486.19217,78.90224,114.35152,126.25059
2742,50.07571,53.225807,2.710239,27.016878,3.6458588,491.7927,78.98624,115.142494,123.44535
2743,50.352505,53.735905,2.7076888,27.040432,3.6665816,493.1544,79.125725,115.163246,121.616844
2744,51.34519,54.623234,2.6911356,25.42935,3.6770315,495.80008,79.95076,114.89991,122.15612
2745,52.097485,55.135788,2.7178886,25.449215,3.587064,494.16,79.80325,113.954254,122.15106
2746,52.743874,55.830982,2.7308664,25.458317,3.5713525,506.54556,80.351616,113.10242,121.378044
2747,52.987583,55.819973,2.7003264,25.636745,3.6005347,516.6795,81.18312,112.61322,123.64854
2748,53.646057,56.370583,2.666106,25.668705,3.6415155,528.41327,81.15547,112.39939,125.64996
2749,53.13195,55.75499,2.7128963,25.455927,3.6098855,531.71204,80.78265,112.89152,126.84178
2750,53.324764,55.554737,2.592626,25.36809,3.601495,529.2613,81.389946,113.60153,127.569725
2751,53.481445,55.538765,2.5425546,25.549591,3.6326869,526.5846,81.58311,113.73266,125.72002
