,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
2593,90.5061,122.27843,53.31279,62.069004,38.712433,85.48109,34.495792,100.472466,47.246918,48.24385
2594,89.71145,124.27229,53.51107,62.711304,38.977467,85.02645,34.41124,100.605225,47.828453,49.704205
2595,90.5158,126.72273,54.20596,62.47073,39.399136,85.382996,34.43422,100.987,48.3336,50.78359
2596,90.34233,127.22552,54.18756,62.690453,39.755432,85.964455,34.447884,101.31149,48.495342,51.71342
2597,91.11197,126.60485,54.155857,63.030304,39.99785,86.49499,34.271572,104.12645,48.50246,51.6601
2598,89.95986,121.661766,53.15822,61.737186,39.895294,86.5326,33.33204,103.11519,47.4036,50.79928
2599,89.59704,119.62335,52.687042,60.299797,39.67717,85.66768,33.096493,103.434906,46.91497,50.248184
2600,89.11817,118.72878,53.069492,59.837666,39.589382,85.41302,32.56727,103.37907,46.50401,49.525223
2601,89.043686,118.84212,53.581413,59.45124,40.17826,85.532104,32.29791,103.21336,46.87252,49.494213
2602,89.46243,118.897514,53.037018,59.53425,40.63236,86.21758,32.04807,102.07081,46.59993,48.50189
2603,89.7356,119.2097,53.163033,59.245693,40.72318,87.08058,32.047462,104.87247,46.412743,48.9244
2604,90.522224,118.35462,53.949326,59.45496,40.64414,87.803535,31.730938,105.43292,46.062958,48.771362
2605,89.95146,117.30508,54.183678,59.281677,40.296017,88.37791,31.536345,106.665215,45.79003,48.843784
2606,89.831894,115.1356,54.457973,59.27618,40.435776,88.900024,31.415245,106.76248,45.506634,48.36216
2607,88.25249,112.56147,54.369007,58.733395,40.47529,88.54245,31.243294,107.187645,45.344585,47.136414
2608,88.458885,113.31542,54.77551,58.088814,40.482788,88.62022,30.895912,108.31398,45.04204,47.22597
2609,88.62406,112.458755,54.72402,57.539623,40.1738,88.49188,30.824501,108.368195,44.51767,46.50847
2610,89.06821,113.752945,54.70464,57.348858,39.91992,88.17172,30.7845,107.85906,44.592495,46.902836
2611,89.27904,113.86954,54.98966,58.14621,39.82601,88.02913,30.977901,107.08282,44.455605,46.122227
2612,90.024765,113.574425,55.081795,58.411648,39.869392,88.06921,31.201616,107.10326,44.676197,46.103767
2613,89.86955,113.65499,55.716896,58.034073,40.008896,88.168015,31.502268,106.94389,44.47734,45.456493
2614,90.534386,114.03936,56.080654,58.205303,39.798843,88.19724,31.925348,107.4231,44.579052,45.729027
