,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,36.717762,40.304226,1.7868329,18.177649,2.4865012,326.25296,59.49736,96.4834,98.19781
2594,37.7039,40.985176,1.7681206,17.95661,2.5057733,329.28662,60.387554,95.371475,98.542366
2595,38.417225,41.701977,1.7667029,17.9449,2.5274916,330.78436,60.13865,94.7791,98.55534
2596,38.386177,42.071716,1.7456611,17.868652,2.5640848,328.41394,59.89791,95.01939,97.772575
2597,38.9334,42.15138,1.7638338,17.83793,2.6108074,327.69363,60.093456,96.03944,97.19774
2598,39.013184,40.805523,1.773203,17.848217,2.615323,328.01938,59.511124,96.78087,96.74387
2599,38.934032,40.887638,1.7346336,17.695772,2.61275,329.52597,59.28575,96.57532,96.438126
2600,39.21647,40.778633,1.695081,17.63518,2.5933547,329.389,58.924934,96.72475,95.27189
2601,39.30733,40.83767,1.6573339,17.691706,2.5756865,329.01712,59.20515,96.67686,94.33142
2602,39.510677,41.316128,1.6314982,17.724653,2.5948164,328.98657,59.801537,96.355835,95.18163
2603,39.513714,41.79024,1.613747,17.545008,2.5988488,330.97867,59.88515,96.44564,95.40984
2604,39.65865,42.20501,1.6368182,17.662582,2.6185842,332.08435,60.469284,95.800575,94.78598
2605,40.03896,42.8385,1.6462054,17.810152,2.641025,330.1815,61.214905,95.11921,94.9159
2606,40.52593,42.8784,1.632449,17.93677,2.654921,327.28168,61.64963,94.69099,95.279625
2607,40.268196,42.12947,1.5994153,17.921291,2.6590843,324.90332,61.46354,94.18141,95.91825
2608,39.98943,42.042576,1.5285811,17.99587,2.655493,321.32504,61.605946,94.00286,95.509735
2609,40.21454,41.997234,1.5041889,18.048208,2.6550465,318.3275,60.96063,94.14994,95.55142
2610,40.3079,42.038807,1.5972143,18.044996,2.664959,322.57462,60.120438,94.955185,96.87641
2611,40.177147,41.807446,1.676601,18.15872,2.6899595,330.98312,60.243904,93.88166,97.99319
2612,40.008713,42.12496,1.6659364,18.190723,2.7076993,340.2961,60.90479,95.899475,100.21652
2613,40.223553,42.873096,1.6917477,18.27308,2.7248363,341.64407,61.52076,97.55243,101.319244
2614,40.824394,43.077812,1.7591,18.3473,2.7356267,342.98532,62.06694,98.72898,100.18639
2615,41.09647,43.539864,1.8121777,18.562721,2.759061,343.4047,62.378494,99.69532,99.718025
2616,41.049232,43.592785,1.8020054,18.842985,2.7785726,345.903,63.410587,99.58356,99.224556
2617,40.87259,43.401493,1.78463,18.939945,2.805113,348.10678,63.019184,99.54165,99.198875
2618,41.20069,43.61139,1.7917012,18.89624,2.8429904,343.34195,63.670403,99.71474,98.04557
2619,41.31577,43.514717,1.7564919,19.260088,2.8817198,337.31967,63.560513,99.449844,97.372856
2620,41.171078,43.248478,1.7255216,19.380333,2.902855,335.7284,63.138798,99.22817,97.57764
2621,41.302284,43.92074,1.7363421,19.569712,2.9037414,331.2033,62.716602,100.19462,96.89069
2622,41.485775,43.96573,1.7447032,19.594246,2.8914323,331.66205,62.58481,101.318146,96.74998
2623,41.533573,43.645317,1.7202501,19.687899,2.8830194,332.12985,62.240612,102.19441,98.2891
2624,41.90314,44.217155,1.6551906,19.908033,2.893244,330.8906,62.239723,102.29458,98.83453
2625,41.7703,44.44603,1.6542078,20.63888,2.9165075,327.10187,62.24115,101.72204,99.20753
2626,42.165623,44.41436,1.6672709,21.71137,2.9322214,327.94577,62.469765,101.8787,101.88747
2627,42.142017,44.264954,1.7279836,22.201828,2.9314663,329.06345,61.91079,101.70628,104.375854
2628,42.121727,44.299675,1.7483275,22.588013,2.9134865,328.0106,61.05442,101.62299,106.71973
2629,42.213547,44.316704,1.734393,23.523928,2.900257,326.67075,60.78612,101.07209,108.20117
2630,42.44955,44.065998,1.7766227,23.970688,2.9025786,321.40515,60.48712,100.91055,109.14629
2631,42.42525,44.08869,1.8077022,24.31211,2.9061694,317.01913,60.655716,101.152985,110.693115
