,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
2593,91.86834,123.61639,53.231544,62.329,40.111115,86.28297,34.196884,100.12881,47.971836,49.18197
2594,91.55324,126.42548,53.858345,63.16191,40.864723,86.23398,34.45175,100.21052,48.358326,50.953472
2595,91.93337,128.31488,54.379436,63.740532,41.59442,86.28796,34.21967,101.35084,48.683945,52.363434
2596,91.741425,127.31037,54.228268,63.667755,41.873108,87.599724,34.490116,101.15104,49.10681,53.026443
2597,91.61834,126.572426,53.872814,64.25039,41.6963,87.65344,34.214523,101.633896,48.97073,52.174553
2598,90.61968,119.401886,52.660923,61.937294,40.41249,85.96661,32.66849,100.798744,48.03715,49.705715
2599,90.36306,117.64149,52.175392,60.425503,39.68556,84.97358,32.261467,101.94363,47.465115,49.617493
2600,90.80201,116.756836,52.51516,59.660404,39.335365,85.54823,32.118618,103.80748,46.961727,49.51254
2601,89.75105,119.03578,54.102455,59.900295,40.146675,86.70444,31.685627,102.970345,46.89333,48.910675
2602,89.18436,120.04979,52.728287,60.323322,40.875237,88.92833,32.115414,102.4723,46.868668,48.326412
2603,89.86721,119.97317,53.010918,60.322296,40.897884,89.56346,31.593502,102.1597,47.128933,47.81022
2604,90.00662,118.85612,53.317085,59.76138,40.98215,89.98302,31.637444,103.90133,46.18797,47.0113
2605,90.11239,116.71232,54.615753,60.309875,40.578087,90.21534,31.182022,105.21785,45.855984,46.848408
2606,91.08444,115.84817,54.92925,59.33306,40.207184,90.61345,31.349773,106.79977,45.275036,47.163834
2607,90.474144,112.32044,54.84059,59.553627,39.778,90.43617,30.981262,107.311226,45.46719,45.53542
2608,90.53507,113.65146,54.40615,58.881588,39.517784,91.03647,30.975775,109.32509,45.80832,46.394955
2609,89.24476,112.119736,54.557156,58.317753,38.824844,89.2833,30.63762,107.239006,45.367702,44.744278
2610,88.79553,114.81262,54.963367,58.35195,38.91917,88.032394,30.792885,106.22464,44.885662,45.27893
2611,89.17091,115.51961,54.930523,59.326927,39.327984,86.72733,30.702105,104.31649,44.92615,45.900723
