,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,36.223125,39.175632,1.85084,17.780073,2.504952,326.32047,60.61814,94.536766,96.65576
2594,37.19886,41.921844,1.8271112,17.423073,2.5329938,329.992,61.589672,95.470955,96.37519
2595,39.006718,41.67248,1.8073069,17.500902,2.551056,333.29245,61.04831,94.60415,97.108536
2596,39.556355,42.53349,1.8167863,17.373924,2.5714579,331.563,60.90187,95.68175,96.96247
2597,39.82385,43.370564,1.8141581,17.389526,2.6228049,327.87943,60.556934,95.861664,95.85884
2598,39.022083,41.337254,1.7991098,17.449656,2.6129491,328.70956,60.59084,96.82761,94.3257
2599,37.924725,41.056866,1.7896377,17.203543,2.6132343,329.9154,60.343338,96.25143,93.83968
2600,37.75535,40.540287,1.7385088,17.168339,2.5926042,328.4399,59.776993,96.917946,92.59475
2601,38.296616,39.793106,1.6894186,17.298075,2.5797644,330.89752,59.93732,97.09103,91.93586
2602,37.61167,40.396423,1.6637834,17.400324,2.5984957,331.20584,60.71979,97.303665,92.00666
2603,38.34349,40.94831,1.6657444,17.227224,2.5847573,332.87213,61.23151,96.41042,92.40751
2604,38.785446,41.321117,1.7084936,17.412588,2.6004457,331.0298,61.88023,94.79998,92.21409
2605,39.82739,42.686295,1.7055645,17.396124,2.6366029,329.28738,62.393536,95.20381,93.53927
2606,40.633293,43.58684,1.6873542,17.623812,2.6574023,328.39334,63.26273,93.837524,93.85312
2607,40.15438,42.76425,1.633121,17.507008,2.6609213,326.0566,62.273693,94.10823,94.42289
2608,40.052635,42.592796,1.5599984,17.573784,2.6630352,321.62106,62.503525,93.77442,93.50279
2609,40.13084,42.124973,1.5489227,17.66851,2.6731176,318.1519,61.30052,94.705025,93.13617
2610,39.801617,42.356735,1.6787915,17.673487,2.6752136,322.55936,60.20413,94.931076,95.023735
2611,40.03269,41.957867,1.7510624,17.932013,2.6915374,331.70255,60.957386,93.71684,97.20273
2612,39.7686,41.110466,1.7173064,17.814339,2.6998622,344.01242,62.241413,95.803696,98.94624
2613,39.08233,42.0335,1.7620711,17.941961,2.7285266,345.3384,63.162262,97.76565,98.89898
2614,40.051823,42.212345,1.8143432,18.050472,2.758115,346.9762,63.48679,99.39077,97.16735
2615,40.30407,42.750042,1.854133,18.251274,2.7745461,347.57703,63.989185,99.948906,97.6492
2616,41.2339,44.239502,1.8531972,18.620932,2.804008,345.97766,65.2074,99.569084,98.319176
2617,41.551052,43.22678,1.8469208,18.544128,2.8183482,348.7961,64.16283,99.48414,96.58451
2618,40.869957,43.770115,1.8412292,18.569866,2.8565645,343.766,64.29506,98.61936,95.11459
2619,41.206264,44.234467,1.7654902,19.107191,2.9053514,339.38245,64.13689,99.18779,95.60778
2620,41.524956,43.50041,1.7671869,19.031328,2.9222546,337.41406,63.938896,98.251305,95.506035
2621,41.051094,43.830948,1.8204972,19.204668,2.9029887,328.52548,63.177444,100.47294,95.22612
2622,40.346943,43.264164,1.8045081,19.23676,2.8917944,329.06467,63.345703,101.90411,95.66879
2623,40.31511,42.784546,1.7603436,19.329235,2.8843224,329.37973,63.132824,102.78406,97.29517
2624,40.550385,43.12787,1.6900579,19.580872,2.8939004,330.96207,63.210564,101.79203,97.62354
2625,41.629436,43.53854,1.7154753,20.588797,2.9216552,328.7262,63.400852,101.377625,98.0782
2626,41.718575,43.784588,1.7367349,21.944992,2.9106371,327.4629,63.70086,101.54046,102.8316
2627,41.881298,44.094753,1.7927262,22.300493,2.9215302,327.67706,63.031258,101.32665,104.59721
2628,42.02906,44.264194,1.8104229,22.513687,2.8959923,326.51236,61.58696,101.14628,105.76917
2629,42.024967,44.07453,1.7900714,23.57057,2.8871596,325.3902,60.88593,100.68171,107.60409
2630,42.090256,43.796143,1.8299748,23.71058,2.899165,323.83823,61.21581,100.07929,108.19244
2631,41.507275,43.848145,1.8538764,23.93713,2.8949788,319.23257,60.94815,101.07346,109.13399
2632,41.197765,43.39644,1.8478769,23.33416,2.8997977,315.938,62.55902,100.89612,111.82338
2633,40.911613,43.436237,1.8421793,23.720457,2.8745852,312.06326,63.058258,102.739075,114.02176
2634,40.879234,43.220592,2.0505056,23.77438,2.888946,314.92215,64.05687,102.27994,115.26572
2635,41.282146,43.76053,2.1674886,24.878033,2.887489,310.12772,64.71985,102.7762,118.51803
2636,42.17574,44.49892,2.176822,25.885214,2.8971446,311.50906,64.947845,102.359665,120.405334
2637,41.695843,45.074467,2.1686277,27.376236,2.911113,312.57837,64.970474,102.91411,118.144966
2638,41.8467,45.2089,2.2472944,27.293777,2.849619,308.9039,63.49391,102.897194,115.717384
2639,41.714172,45.132835,2.19809,28.34257,2.8508012,306.1436,62.709087,102.95524,112.489296
2640,42.38737,45.229523,2.178489,26.436308,2.8448007,309.4399,63.241673,104.165276,110.67172
2641,42.670444,45.41221,2.1850722,25.876396,2.8729384,314.41568,62.63208,105.398476,110.61278
2642,42.47742,45.080383,2.2160954,26.795738,2.8613088,321.29968,62.7413,106.723434,112.03972
2643,42.200157,44.995464,2.3314898,25.972446,2.8570516,321.4246,62.9463,107.198425,112.26867
2644,42.38394,45.36937,2.3276954,26.801676,2.8834481,328.76514,63.254543,106.73736,113.30163
2645,42.811207,45.29875,2.4273016,26.993803,2.9320226,325.8762,63.27957,106.5445,116.12536
2646,43.078873,45.369095,2.4587252,27.007046,2.9993272,325.37537,63.65883,107.17799,116.26989
2647,42.519714,45.228333,2.4060931,26.602993,2.9936194,326.01938,64.09707,107.23393,116.69815
2648,42.78181,45.04349,2.4286053,26.471107,2.9588976,325.829,64.51925,106.19759,116.94345
2649,43.090824,45.099403,2.4969108,26.116749,2.9325018,328.3377,65.05295,105.676605,116.86852
2650,43.337147,45.74739,2.5303404,25.93787,2.9258182,336.09708,65.62419,105.20574,119.092636
2651,43.786835,45.724163,2.5080364,26.511787,2.9507217,339.17325,65.94224,104.29569,120.50519
2652,43.279266,45.64798,2.55685,26.236868,2.9624135,344.88147,65.279594,103.27939,120.491516
2653,43.094574,45.416534,2.6233938,26.740355,2.9895523,345.52713,65.30971,103.11774,122.35126
2654,42.944344,45.370132,2.657202,27.505095,3.0234895,348.96753,65.21229,103.92962,125.4862
2655,43.029522,45.42359,2.5926206,27.666082,3.0288289,348.65866,65.18761,104.97893,127.837234
2656,42.991264,45.145695,2.5410132,27.4254,3.0132804,349.6875,65.05643,105.12553,128.58774
2657,42.483654,44.507816,2.5058439,26.579964,2.9786391,347.47888,64.4189,104.623764,129.64612
2658,41.66786,43.867615,2.5759547,25.945875,3.013374,348.9579,64.94145,104.554276,131.20201
2659,40.87012,42.21411,2.5046613,26.250923,3.0241022,349.76855,64.01965,105.27649,131.96681
2660,39.666817,41.862953,2.4666626,26.135813,3.0336623,350.29053,63.82592,105.201195,129.32198
2661,39.62108,41.098415,2.3735783,26.2669,3.0013592,353.8784,64.526535,105.30624,129.22234
2662,38.92469,40.48907,2.3069336,26.37955,3.0142064,362.1822,64.28699,105.61664,130.11691
2663,38.049812,40.326813,2.3422701,26.548073,3.0586207,360.727,65.58758,106.29055,124.642296
2664,38.175716,40.16471,2.3792188,26.524105,3.0729969,365.17743,65.98992,106.90028,121.431274
2665,38.951458,40.974995,2.3512962,26.691965,3.0703163,368.4979,65.993996,106.619835,119.34918
2666,39.708843,42.325714,2.1524909,26.588535,3.056011,373.9281,65.78183,106.79346,117.20782
2667,40.514584,42.725094,2.0889063,26.137281,3.0839899,376.64703,64.943665,107.04322,114.52627
2668,40.28856,42.563557,1.9606984,24.5792,3.0582323,374.40253,64.56771,107.14572,111.38349
2669,40.37099,42.680836,1.908751,23.975399,3.0632997,372.1525,64.43339,106.65347,108.61698
2670,40.641685,42.156616,2.071642,22.572336,3.0304744,370.74377,64.28481,106.83662,108.59427
2671,41.034245,41.98993,2.2262132,22.662146,2.987891,363.22385,64.49949,107.28531,109.47801
2672,41.108337,41.99042,2.1970985,22.515032,2.9802568,363.88312,65.2314,107.46205,109.50974
2673,40.362988,42.05999,2.166408,22.658276,2.9807463,364.99033,65.372475,107.72336,108.124825
2674,39.738266,41.275974,2.440955,23.325089,2.9907978,366.06918,64.801315,108.52884,107.4998
2675,40.003963,41.16434,2.5050683,22.833239,3.0017145,374.28772,65.10517,108.30031,108.23578
2676,39.901882,40.942787,2.5414276,23.344818,2.923915,380.34235,65.09366,108.42899,105.72835
2677,39.720314,40.047207,2.5129595,23.28065,2.9613974,380.1746,65.09773,108.017166,105.24896
2678,39.31106,40.508953,2.6128597,24.036215,2.9669118,378.85446,65.25642,108.76827,104.91731
2679,39.822006,41.62505,2.516323,23.449066,2.962381,384.3912,65.885414,108.796715,105.60113
2680,40.860508,41.97087,2.578263,23.484255,3.0062032,388.17963,66.64437,109.91933,105.91341
2681,40.54761,42.82558,2.6634643,23.374228,3.0301352,385.07452,67.01158,109.48527,107.12603
2682,40.244846,42.792442,2.7686,24.090073,3.0826015,390.0107,67.85317,109.88251,107.89847
2683,39.608837,41.916546,2.8580365,24.31713,3.0774112,390.12177,68.62652,108.91209,107.7551
2684,39.77981,42.424164,2.8327522,23.975607,3.051466,390.38913,69.445015,108.9411,107.67381
2685,40.643482,42.667507,2.7540765,23.878056,3.0642126,393.59277,69.63908,108.27265,107.17919
2686,41.34609,42.474155,2.793364,23.707918,3.0851026,399.35016,69.846146,107.91982,107.655075
2687,41.0963,42.6682,2.81475,23.726881,3.0769281,400.60855,70.418106,107.67418,105.6551
2688,41.050766,42.65201,2.7897255,23.812693,3.0795305,403.89062,71.11538,105.485756,103.45869
2689,41.32393,42.86112,2.9184206,24.139187,3.1229887,406.46268,71.55902,104.66319,102.43387
2690,41.59419,42.76445,3.0179107,24.452658,3.1802087,413.69156,71.72964,103.60312,102.23647
2691,40.904884,42.958736,3.0149117,24.247755,3.179292,414.6741,72.2024,103.62183,103.10714
2692,40.52927,42.325565,2.9599338,23.933338,3.160468,415.97095,72.23676,103.36121,102.644135
