,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
2593,91.89357,122.417,53.46543,62.551266,38.756252,85.45815,34.655964,100.92616,47.359898,48.939545
2594,91.10318,123.59711,54.006645,63.509945,39.439228,85.29964,34.264732,102.57556,47.463093,49.5001
2595,90.94309,125.06616,54.758125,63.290195,40.171196,85.34591,34.518272,103.39139,48.952545,50.53501
2596,91.475174,126.75473,54.483585,64.51339,40.64784,85.9973,34.83176,103.44092,48.558865,52.026173
2597,92.0454,125.71914,54.480934,63.934555,41.10075,85.974785,34.119007,104.52833,48.91603,52.13043
2598,91.104004,123.287186,53.41248,61.858467,41.14976,85.26461,33.28408,104.29995,47.50086,51.916805
2599,91.447754,119.37406,53.18656,60.222984,41.24292,84.40332,32.727688,103.279366,47.04085,51.309895
2600,91.57066,117.46325,52.97083,60.289307,41.104347,84.61669,32.48495,104.997696,47.07365,50.407738
2601,91.58019,118.38199,53.34625,59.412994,41.411446,86.10037,31.894697,104.869644,46.53368,50.914093
2602,91.688705,119.12077,53.020203,59.92415,41.063343,86.57019,32.176117,105.42425,46.388935,49.682404
2603,91.25083,118.891075,53.52509,59.84506,40.770042,87.15102,31.712587,107.134254,46.08692,49.007607
2604,91.79116,119.56102,53.375095,60.099743,40.643135,88.4562,31.938015,106.72286,46.734875,47.063347
2605,91.88597,117.89869,54.389206,59.713554,40.675636,88.32766,31.587011,108.42619,45.860657,46.66278
2606,92.18628,117.82141,55.458527,59.684597,40.65291,89.58853,31.325802,108.24059,45.92179,46.828896
2607,90.128334,114.62951,55.428333,59.554573,41.04538,89.22335,30.896399,108.59949,44.720272,46.634617
2608,89.303795,111.86338,55.20543,58.535526,41.055344,89.68307,31.027739,109.86777,44.88025,46.329525
2609,89.02526,111.7339,55.082397,57.372093,40.59969,89.235214,30.84559,109.08631,44.412003,45.853928
2610,89.26312,110.8569,54.660007,57.85848,40.276814,86.93507,31.20991,107.55142,44.276627,45.83136
2611,91.24511,112.328224,55.315308,58.245296,39.657257,86.390335,31.055372,106.233986,44.614437,46.177612
2612,91.78209,114.099495,55.14028,58.284416,39.49164,86.55806,31.286057,106.1547,44.174595,45.895187
2613,93.030525,113.51358,55.43825,58.882065,39.5099,86.07268,31.931381,107.05151,44.365143,45.432144
2614,93.19854,114.64023,56.154545,59.353355,39.55032,87.311035,32.067444,107.458694,44.18352,45.60905
2615,93.47013,113.426025,57.11165,59.361797,39.5556,87.48404,32.56744,107.17345,44.984436,44.988644
2616,93.860596,112.16282,57.00845,58.68117,39.566776,87.28796,32.542923,107.54249,44.639324,44.988308
2617,94.50761,111.77445,57.426823,58.35442,39.40515,87.7138,32.1106,106.741776,44.606403,43.78836
2618,94.16412,111.12752,57.286026,59.059067,39.173805,86.8681,32.387,107.99785,44.57855,43.98369
2619,94.48963,112.02156,57.84709,58.81362,39.27343,86.25145,32.983753,106.59819,44.848766,44.11091
2620,94.90108,114.64833,58.20572,58.607006,39.791416,85.93607,33.085285,106.72227,45.024906,44.859375
2621,96.124374,116.07674,57.064907,59.14767,39.798923,85.90792,33.4457,107.284515,45.181995,45.039707
2622,97.79324,117.74112,56.49773,58.860775,39.875587,86.2194,33.753853,105.978264,45.818863,44.526318
2623,98.568344,119.6428,56.760475,59.536976,40.474323,86.62399,34.356716,106.27976,46.42657,44.804016
2624,99.20515,118.736824,56.545353,60.902027,40.56496,86.37657,34.49409,104.95401,46.700127,44.687626
2625,100.01414,120.25461,55.92316,61.192265,40.526863,86.3867,34.30967,105.44856,46.790104,45.373055
2626,100.47395,120.14123,55.77912,60.81592,40.808617,85.70426,35.43194,106.050606,47.36453,45.235985
2627,101.690895,120.39156,55.773647,60.81524,40.938522,85.422966,36.201847,105.64706,47.09929,45.448414
2628,102.15948,121.45623,55.95045,56.553894,41.1409,84.75859,36.213806,105.12877,47.771717,46.090527
2629,101.61306,120.71315,55.86538,53.5241,41.163063,83.8227,36.12201,105.95352,47.881916,45.593544
2630,101.752716,120.98941,55.66952,50.97771,41.243774,83.55154,36.550247,106.10201,48.475132,45.770977
2631,102.93713,121.131325,55.86946,49.08843,41.535408,83.200096,36.97034,107.15203,48.247375,45.823616
2632,103.16026,119.928085,55.78366,48.226624,41.669987,82.84536,36.851055,106.470604,48.169117,45.250893
2633,102.86237,119.81899,55.81082,47.510986,41.680187,82.67352,36.835323,106.837845,47.963768,45.351574
2634,102.43907,118.98724,55.84821,48.039185,41.85905,82.78785,36.940105,107.43678,47.327114,44.42017
2635,101.8251,119.3463,55.710743,48.48397,41.726116,82.709785,37.199013,107.627945,47.3513,44.82377
2636,102.88265,120.55183,55.96969,48.752876,41.82698,83.21424,36.894005,108.36598,46.983524,44.580135
2637,103.14106,120.31156,55.90219,48.119095,41.497,82.17473,36.639797,108.54706,47.028187,45.154655
2638,103.11435,120.51617,55.53552,47.658653,41.64221,82.19429,36.432796,112.28475,46.79916,45.351143
2639,102.385445,120.25997,55.420086,48.04425,41.872505,82.00976,36.759403,114.54406,46.942837,45.22924
2640,101.59949,120.52297,55.28933,48.286217,42.28601,81.27046,36.870182,115.19938,47.285294,45.711025
2641,101.45454,120.68936,54.757767,47.135242,42.57346,82.64523,36.49065,116.49281,47.69898,45.809017
2642,101.38799,119.53492,54.21054,48.109074,42.794575,83.40206,36.362583,116.5144,47.74431,45.978157
2643,101.20823,119.10375,54.18594,48.817345,42.865063,83.288956,36.32031,116.51592,48.0161,45.85806
2644,100.62757,118.95061,54.382286,49.550415,43.00969,84.15068,36.184093,118.46787,47.955917,45.309963
2645,101.05678,118.35924,54.974445,49.865284,43.067753,84.06803,36.358658,117.30097,48.083633,45.791462
2646,101.30954,119.1108,55.50432,49.274395,43.224743,84.864685,36.551785,118.50494,47.599033,45.368046
2647,101.803894,118.30623,55.808525,49.127373,43.12371,85.617004,36.594517,118.78284,47.456078,44.946503
2648,102.54899,118.24251,56.06085,50.17077,43.335575,85.62669,36.749596,117.683395,47.558197,44.14519
2649,102.348274,118.8688,56.167507,49.555096,43.422005,85.97781,36.88802,117.24059,47.546967,44.018795
2650,102.37388,119.33201,56.261715,49.64555,43.47183,85.36008,36.692825,117.39377,47.628914,43.6477
2651,103.13276,119.52542,56.957485,49.918793,43.532978,85.757996,36.409096,118.34999,47.32078,43.526897
2652,106.73117,119.867386,57.071167,49.70065,43.674606,86.27853,36.403667,118.80037,47.551502,42.839584
2653,109.80675,119.42046,57.692635,50.08078,43.86719,85.82635,36.466503,118.635185,48.10008,42.645767
2654,110.69536,119.4262,57.91695,51.893696,43.814217,86.28675,36.422573,117.899956,48.660667,42.357346
2655,109.22215,118.90626,57.99692,52.02338,43.659542,86.04999,35.624657,117.81326,48.557713,43.057667
2656,109.63158,119.38386,58.48347,51.758114,43.7518,86.84879,35.322063,119.34429,49.56456,42.63157
2657,109.58248,119.67476,58.507507,51.56473,43.769566,87.10481,35.420704,118.56799,50.015972,41.92658
2658,108.191765,119.015396,57.83824,50.979023,43.945343,86.20996,35.208702,116.69437,50.36003,41.659386
2659,106.24611,117.982994,56.70033,50.074917,43.863873,86.32991,34.523315,115.40589,50.17563,41.761658
2660,106.13184,117.12065,56.463623,49.851543,43.86494,87.47893,34.431763,113.994484,50.125866,41.751713
2661,107.191696,116.64999,57.0141,49.386517,43.73948,87.1161,34.335434,114.08277,50.50538,41.00769
2662,107.102646,116.79613,57.334682,49.15697,43.83604,87.84814,34.151688,114.2022,50.166798,40.534084
2663,107.30451,116.85325,58.153896,49.67134,43.57335,88.67829,34.693512,113.45144,50.34583,40.351494
2664,107.888435,116.352234,59.246445,49.633507,43.45963,89.38762,34.705215,116.05266,49.951195,40.29166
2665,107.511734,117.906166,60.840324,50.162178,43.28445,88.90989,34.809692,115.712006,50.66655,40.150036
2666,107.18359,119.07742,61.3618,50.22235,43.115837,89.33106,34.779877,115.228386,50.20362,39.819675
2667,107.11649,118.73543,60.864014,50.326294,42.48505,90.31708,34.954483,113.58673,50.36828,39.830776
2668,107.268875,117.94347,61.117664,49.723648,41.772408,89.9201,34.615044,112.98842,49.696888,39.969223
2669,107.00418,116.66607,61.234634,50.184593,41.212017,89.07028,34.5798,114.072136,49.50088,39.80371
2670,105.02291,115.12618,60.518642,49.076298,40.41662,87.96622,34.509422,112.85909,49.387985,39.106697
