,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,38.789177,40.02104,1.8091965,18.010181,2.5026257,327.435,59.911133,95.6619,100.42461
2594,40.2004,40.351315,1.7862103,17.673487,2.5385919,329.13214,60.691875,95.24038,100.076324
2595,40.081398,40.888615,1.8003944,17.759378,2.5472164,331.0333,60.628887,94.752785,99.637985
2596,39.124733,41.215122,1.7800092,17.67048,2.592479,330.6044,59.960373,95.60194,100.09147
2597,39.763927,41.874756,1.7846267,17.815998,2.6173112,330.3161,59.520786,95.09314,98.35787
2598,39.8114,41.543983,1.788498,17.906645,2.5993156,330.0482,59.524864,96.54857,97.87762
2599,38.78548,39.465233,1.7684131,17.640484,2.6078265,329.9469,59.21788,95.80771,98.013504
2600,39.27019,40.17746,1.7327358,17.549124,2.5868423,329.88254,59.417095,96.33887,96.33181
2601,39.480785,41.091457,1.6914327,17.637188,2.5890305,330.41345,59.903637,96.67332,94.82819
2602,39.83621,40.57352,1.6862613,17.620352,2.5961854,330.67725,60.572315,97.32316,96.09888
2603,40.68839,41.245186,1.6539028,17.566824,2.594678,330.33725,60.61791,96.96395,95.60894
2604,40.75175,41.544334,1.6481252,17.603046,2.6182864,332.5935,61.129234,95.94831,94.848114
2605,41.224243,42.089134,1.6546866,17.771416,2.6325464,329.33167,61.520912,95.61368,96.34288
2606,41.38438,43.23502,1.6551422,17.902916,2.6398933,326.72433,62.070076,94.8825,97.44448
2607,40.888973,42.244953,1.6221766,17.888145,2.6743667,326.70877,61.532364,94.90047,96.719894
2608,40.896492,41.44559,1.5794489,17.982695,2.6582053,322.35785,61.430477,94.5662,95.955185
2609,40.36044,42.13837,1.5755489,17.930077,2.6787326,320.58093,61.076794,94.310425,96.26723
2610,40.06411,41.652634,1.6196754,18.00572,2.6760798,323.39478,60.00611,94.361534,97.95977
2611,40.344994,41.75601,1.6618834,18.15993,2.6970592,329.09872,60.022667,94.2179,99.07723
2612,40.463947,42.1292,1.6859676,17.990124,2.7172036,337.27313,61.453053,95.45679,100.36328
2613,40.89286,41.61841,1.7247863,18.23677,2.7133975,339.41498,61.870842,96.53962,101.91095
2614,41.728493,42.600296,1.7625699,18.283442,2.7475262,342.70557,62.536766,98.08412,100.10131
2615,42.210266,43.56888,1.8136302,18.43977,2.7769392,344.37943,63.07832,99.27713,100.908325
2616,41.960396,43.144417,1.8083044,18.74466,2.813244,346.26056,63.756157,99.56345,101.30421
2617,42.375847,43.409416,1.8085809,18.813858,2.8206835,349.47333,63.522285,99.39144,99.90703
2618,42.268066,43.21236,1.8309281,18.824787,2.8628974,344.24448,63.703453,99.86867,98.45358
2619,42.181866,42.987507,1.7700504,19.23115,2.903172,340.36652,63.409874,99.49437,99.7348
