,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
2593,90.465904,123.45862,52.95242,61.49003,38.797455,86.22115,34.900764,93.65227,46.867405,50.93051
2594,90.53833,124.536064,53.18082,61.939014,39.40726,86.234856,34.792805,93.938576,47.545517,51.48118
2595,90.633385,126.62036,53.639214,62.12708,39.807297,86.09201,34.88293,94.90067,48.05974,52.429913
2596,89.99011,127.20025,53.63403,62.3836,40.283974,86.27548,34.773415,95.33192,48.2688,52.643433
2597,89.88917,126.61622,53.764614,62.678726,40.650078,86.57452,34.58239,95.82103,48.236534,52.484257
2598,89.78422,122.8383,53.189617,62.183834,40.36575,86.254166,34.136467,95.81243,47.478275,51.803238
2599,90.013725,120.928154,52.73054,61.66787,40.01887,86.01946,33.77356,95.68597,46.873802,51.500027
2600,89.99151,119.55942,52.66866,60.863564,40.166573,86.05818,33.347725,95.92615,46.528847,51.28248
2601,89.89364,120.02174,53.184963,60.674576,40.275776,86.03388,32.954773,96.51005,46.51373,51.244297
2602,90.10575,119.242546,53.021362,60.59497,40.33778,86.67693,32.817448,97.15616,46.279766,50.660454
2603,89.60885,119.152084,53.128006,60.21235,40.36105,86.976746,32.54323,97.436676,46.54861,50.618572
2604,89.56041,118.92841,53.179302,60.143986,40.210484,87.7638,32.49396,97.823906,46.061428,50.148132
2605,89.41582,117.76808,53.46546,60.049103,40.122097,88.55561,32.201378,97.939926,45.812813,50.201122
2606,89.95907,117.155266,53.871014,59.743023,40.30089,88.88894,32.027027,98.289665,45.60113,49.753643
2607,89.62859,114.525856,53.943604,59.58423,40.14265,89.073425,31.681751,98.74986,45.187702,49.181763
2608,89.62223,113.87232,53.985554,59.143005,40.18955,89.06,31.53027,99.286,44.980827,49.00046
2609,88.9151,113.386116,53.86086,58.742302,39.63879,88.698425,31.151625,99.79922,44.68225,48.66287
2610,88.94807,113.483154,53.9527,58.592033,39.471992,88.50809,31.172861,99.76448,44.306683,48.643093
2611,89.0706,114.648224,54.282322,58.563263,39.251457,87.78356,31.097307,99.57814,44.24399,48.91089
2612,88.97974,114.58341,54.736984,58.751553,39.12149,87.76029,31.41143,99.649826,44.274155,49.006
