,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,36.776356,39.910557,1.7656714,18.14611,2.481925,327.43622,59.202873,95.989815,98.03967
2594,38.355007,40.373135,1.7824287,17.8044,2.492033,329.45963,59.930756,95.72929,98.01472
2595,39.282433,41.233078,1.7672154,17.815813,2.503976,331.03537,60.54547,94.209175,98.21186
2596,39.371696,41.26632,1.7566912,17.82963,2.5224793,329.76334,60.7495,95.02065,97.21448
2597,39.653103,41.847153,1.7860466,17.827044,2.5540407,327.95337,60.798313,96.327736,96.33949
2598,39.605442,42.126526,1.8080171,17.846098,2.574469,328.3824,60.617268,96.77681,95.90524
2599,39.389908,41.58613,1.7516366,17.652246,2.5986774,329.31003,60.125168,96.896965,95.60665
2600,38.863598,41.912094,1.7076497,17.620749,2.6060474,328.22607,59.903477,97.16508,94.19293
2601,38.968792,42.266785,1.6656766,17.546217,2.6018372,328.5447,60.301743,96.88321,93.61535
2602,39.341496,41.680634,1.6286042,17.56105,2.5940857,329.73764,60.65402,96.49402,94.65587
2603,39.723396,42.495365,1.6127031,17.544834,2.5801408,330.37708,60.51624,96.28796,94.945984
2604,40.069458,42.958366,1.642437,17.675999,2.5727508,331.10538,60.83559,96.14128,94.4663
2605,40.56062,43.01613,1.6407121,17.859865,2.5866973,329.5812,61.590435,95.10124,94.60396
2606,41.038662,43.829567,1.6139286,18.03391,2.6188314,327.2856,62.25816,94.60694,94.52922
2607,40.777744,43.767902,1.6095369,17.888521,2.6357422,325.86328,61.701427,94.81519,95.063866
2608,40.433723,43.22328,1.5258925,17.932854,2.6450796,321.5366,61.652008,94.8806,94.67406
2609,40.127163,44.086407,1.4925886,17.982042,2.6589425,318.6614,61.62087,95.60705,95.013954
2610,40.10147,43.596653,1.5955824,17.918085,2.6652048,321.8922,61.466473,96.239136,96.75412
2611,40.10215,43.34326,1.6630836,18.235268,2.66324,329.64252,60.748795,95.24645,97.360435
2612,40.15572,43.75582,1.6405582,18.254362,2.690642,339.453,61.39404,95.1989,99.82452
2613,40.592716,43.585114,1.6866755,18.328135,2.6848445,341.4205,61.9752,96.65809,101.01498
2614,40.996674,43.799957,1.7512808,18.411402,2.7060978,343.3597,62.775944,97.35167,100.26735
2615,41.239986,43.921375,1.7871547,18.594835,2.7407155,344.10745,62.795544,97.17223,99.93347
2616,41.340206,44.27903,1.7947773,18.889595,2.741245,346.52945,63.319225,97.14086,98.699326
2617,41.17479,44.67411,1.7922646,18.861996,2.7642386,348.51144,63.561626,97.93369,98.31658
2618,41.025005,44.343754,1.7827824,18.938034,2.794788,345.22226,63.863163,98.53222,97.7765
2619,41.043705,44.31559,1.7561698,19.296787,2.8287573,339.93826,63.238224,99.21096,97.41808
2620,41.21565,44.278748,1.7568873,19.398993,2.8646007,337.93576,63.32699,98.74513,97.33296
2621,41.278667,44.543545,1.7448931,19.637815,2.8837237,332.21182,63.29095,98.8005,96.55153
2622,41.278255,45.05743,1.7263459,19.607515,2.891223,330.74075,63.543373,99.81594,96.57237
2623,41.659664,44.724545,1.7310709,19.622711,2.9025402,330.94257,63.001472,101.02189,98.20268
2624,41.413254,44.61549,1.6597062,19.90654,2.9005363,328.94263,63.107883,101.39278,98.10544
2625,41.556618,45.299927,1.6459001,20.637121,2.8941681,324.85703,63.024147,102.07353,99.27936
2626,42.100967,45.4971,1.6609268,21.877472,2.8966663,325.82413,63.103054,102.07161,102.370895
