,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
2593,91.804985,122.687416,52.996006,62.433144,40.13665,85.17044,34.380726,101.418396,47.91207,48.361156
2594,91.27416,123.941,53.741558,63.457428,40.635353,85.32392,34.395054,99.696014,48.444183,50.044838
2595,90.92291,127.546265,54.427505,64.11671,41.5812,85.273506,34.119514,101.159775,49.204983,52.437584
2596,90.57308,128.31163,54.520874,63.308662,41.80987,86.289276,34.208126,103.10887,49.409935,52.98045
2597,89.90581,126.382065,54.241215,64.16763,41.864685,86.97293,34.185047,104.93641,48.97493,51.601597
2598,89.37111,119.843094,52.810005,61.895576,40.82104,86.44124,33.256042,103.432816,47.158028,49.208225
2599,88.8605,116.70384,52.157715,61.220585,40.57581,86.46354,32.613697,103.01106,46.659424,49.17342
2600,89.353966,116.34419,52.446865,59.959133,40.08747,86.21852,32.06012,103.44972,46.180374,48.726585
2601,89.642914,118.448166,53.658054,60.262947,40.4025,85.58733,32.231724,101.90498,46.634342,48.217957
2602,90.31602,119.14771,52.937485,59.83934,40.718807,86.39192,32.082188,103.29244,46.429638,47.38364
2603,91.29675,120.05489,53.237453,59.22253,40.619904,87.01061,31.417885,105.91527,46.504192,47.72453
2604,91.17627,118.56969,53.74774,59.013065,40.600796,88.11775,31.336697,106.01319,46.09166,46.655712
2605,90.58927,117.39547,54.55543,60.038475,40.258728,89.812195,31.200935,106.46717,45.94251,46.125587
2606,90.969826,115.890015,54.842304,59.11811,40.035694,90.73647,31.266224,107.27789,45.505775,45.869446
2607,88.96177,113.759,54.739666,59.807354,40.15498,90.33653,30.846579,108.15506,45.17235,45.768826
2608,89.68919,112.67009,54.90544,58.79722,39.918724,89.90509,30.868423,108.08831,44.75868,46.098022
2609,89.516266,113.72096,54.71166,58.261784,39.38969,88.25598,30.865128,107.72373,43.990288,46.099968
2610,88.96224,114.838234,54.639656,57.412693,39.27599,88.487595,30.992023,106.620155,44.431644,44.669968
2611,88.61825,116.47224,54.70328,58.1974,39.264206,87.76352,30.600477,105.93145,44.27729,45.118256
2612,89.82751,114.78491,55.550407,57.967987,38.873074,87.95127,30.823408,105.466415,44.681904,43.99983
2613,90.94775,112.848274,55.64339,59.145683,39.45956,88.12015,31.631065,103.80403,44.65565,43.811768
2614,92.18094,115.461,56.42744,58.8733,39.289753,88.76146,32.45872,104.88056,44.96738,44.427963
2615,92.56324,114.55617,56.60333,59.082653,39.82004,88.25213,32.42422,105.84409,45.365326,43.523087
2616,92.53724,114.68015,56.73266,59.029987,39.758595,87.84466,32.38921,105.39094,45.3648,43.675484
2617,93.29942,113.42823,57.084827,58.632122,39.43711,88.1044,32.27144,105.09546,44.659348,42.853786
2618,92.62511,112.88081,57.110786,59.370495,40.086067,87.87893,32.241146,106.753685,44.693626,43.21287
2619,93.78715,115.11,57.34344,59.370323,39.54851,86.9854,32.503147,106.04142,45.056046,43.49181
