,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,35.856846,39.52423,1.8025357,18.104244,2.4860055,328.32916,59.30055,95.82848,99.03524
2594,36.552696,40.06157,1.770137,17.971125,2.5211685,330.5487,59.83096,94.970894,99.00502
2595,37.138416,40.613197,1.7829853,17.859367,2.5437562,332.48715,60.15096,94.428825,99.47924
2596,37.658363,40.726776,1.765091,17.9372,2.5622213,330.9681,59.944603,95.500946,99.772545
2597,37.921364,40.794758,1.7674052,17.81225,2.605002,328.9868,60.29869,96.77338,98.42849
2598,38.16373,40.34701,1.798484,17.80491,2.6131077,330.30145,60.3701,96.91049,97.717316
2599,37.78651,39.940876,1.7466241,17.708818,2.6006455,330.45267,60.21806,97.22725,97.00881
2600,37.29678,39.47479,1.7178184,17.418663,2.594287,330.77618,59.64863,96.58678,95.4824
2601,38.22552,40.749725,1.6735337,17.515293,2.5833926,330.82864,59.53862,96.99432,94.3326
2602,37.89643,40.61656,1.6453072,17.683867,2.5884943,330.64386,60.30258,96.33132,95.19058
2603,38.73176,41.247177,1.6392548,17.688206,2.5841627,332.07394,60.534924,95.92649,94.48048
2604,39.079475,41.911407,1.6672828,17.696507,2.595672,332.2189,60.66857,95.357925,94.91048
2605,39.472538,42.316513,1.6860571,17.818525,2.6215882,331.6351,60.901096,94.65446,95.92251
2606,40.556778,42.378952,1.6766626,17.89962,2.6451678,329.04776,61.83543,93.95007,96.26988
2607,40.421627,42.278294,1.6530389,17.893934,2.6451619,327.6455,61.78082,93.91217,96.55217
2608,39.831112,41.323658,1.5721452,17.813087,2.6504142,322.98392,61.694374,94.51073,95.93995
2609,39.353916,41.27095,1.5378371,17.969915,2.6676002,320.95322,61.34198,94.84743,96.24284
2610,40.167393,41.43432,1.6833494,17.964006,2.6650047,325.24124,60.947502,95.78057,97.071526
2611,40.13385,41.74886,1.740075,18.18759,2.6917653,332.93564,60.98937,93.50924,98.51845
2612,40.224636,42.233936,1.7489605,18.3443,2.7037308,342.3922,61.721363,96.45734,100.29605
2613,40.39628,42.171432,1.7719895,18.290058,2.729049,343.003,62.32705,98.8689,100.82505
2614,40.376537,42.97964,1.80332,18.440145,2.7510662,345.26196,62.492554,100.06096,99.44448
2615,41.14227,43.776855,1.827467,18.570728,2.754648,345.09973,62.397926,100.29045,100.008095
2616,41.01128,43.755714,1.8438805,18.683653,2.7852952,347.27707,63.182583,100.10452,99.73916
2617,40.75729,43.316994,1.8241528,18.946775,2.8059006,349.983,63.21345,99.1336,99.486
2618,41.40869,43.446346,1.7923976,18.929533,2.8343375,346.21463,63.59387,99.0573,97.77495
2619,41.331345,42.790688,1.7730671,19.17128,2.8927999,341.41937,63.775665,99.62803,97.85275
2620,41.07775,43.545166,1.7785605,19.416758,2.9063537,339.4033,63.42962,99.49969,97.208855
2621,41.63351,44.01658,1.7934968,19.42207,2.888259,333.63925,63.122913,100.77696,97.29721
2622,41.210285,43.505474,1.772431,19.592056,2.8936095,334.17407,62.86732,102.50166,97.64498
2623,41.20202,43.671364,1.7512017,19.542223,2.8898242,334.23734,62.97893,103.12881,98.586525
2624,40.98027,43.90707,1.712356,19.843214,2.8956356,333.13138,63.015938,102.94565,98.87371
2625,41.47136,44.636585,1.6903375,20.344652,2.9173403,328.3742,62.779423,102.58368,100.50529
2626,41.814537,44.549503,1.6953671,21.337568,2.9151137,328.8464,62.840454,101.94546,103.67871
2627,42.20305,44.04525,1.7683209,22.096851,2.9177916,328.2328,62.16697,101.52441,105.051414
2628,42.1778,44.02185,1.8248717,22.381712,2.9057426,328.16803,61.38563,101.08653,107.08295
2629,41.933712,44.15797,1.822174,22.99435,2.8898606,327.37286,61.221176,100.8469,108.723915
2630,42.252934,43.868366,1.8367007,23.503654,2.8997366,324.5443,60.86214,100.81437,108.925095
2631,42.01476,44.00078,1.8631555,23.839079,2.9038126,320.286,61.09027,100.72654,110.00942
2632,41.746883,43.979305,1.8433102,23.797571,2.8992236,319.14786,61.616096,102.12499,112.34374
2633,41.127056,44.1434,1.8221941,23.853231,2.8773475,318.42654,61.7376,102.59822,114.72053
2634,41.388184,44.066227,1.9755329,24.191109,2.895192,319.91278,62.507984,103.24371,115.77984
2635,41.812534,44.327347,2.0618067,24.792723,2.9007597,315.7751,62.91607,102.36687,119.19763
2636,42.11439,45.257732,2.0952299,25.525747,2.9046183,314.218,63.37181,102.81769,120.62997
2637,42.319855,45.70547,2.1105773,26.163948,2.9074693,312.6889,63.829937,102.8318,118.82474
2638,42.204857,45.33486,2.129826,26.746737,2.8461602,311.2738,62.94757,102.56201,117.59364
2639,42.1219,45.49137,2.1184006,27.286821,2.850424,311.77676,62.55783,103.27522,114.90494
2640,42.471115,45.336224,2.148082,27.072546,2.85322,312.8601,62.687374,104.28638,113.142136
2641,42.26309,45.89742,2.1424184,26.466602,2.8794315,313.98462,62.426224,105.87197,112.225716
2642,42.624344,45.947926,2.1456037,27.105911,2.861951,319.8267,62.674156,106.72329,114.41055
2643,42.701485,45.710617,2.242811,26.8281,2.8458438,321.79205,62.132393,107.26831,114.011444
2644,42.696037,45.683735,2.2917576,27.115753,2.8791995,327.80786,62.27687,106.73368,114.78584
2645,43.08966,46.08057,2.324217,27.413504,2.9197068,328.16,62.358246,106.914566,117.37804
2646,43.317596,46.283802,2.347503,27.655546,2.9781585,328.1013,62.230488,107.24862,118.3881
2647,43.166084,45.92185,2.3290172,27.56089,2.9873672,326.34366,63.191875,107.01221,118.471146
2648,43.018745,45.427685,2.3563328,27.3101,2.960197,327.73807,63.37055,106.26335,118.97592
2649,42.994057,45.7443,2.4350052,27.013521,2.9431415,330.52844,63.6716,105.619835,119.94874
2650,43.459408,45.931034,2.436377,26.759142,2.933445,337.62146,64.05775,105.58031,121.74232
2651,43.7689,46.23374,2.4332728,27.018467,2.961477,340.129,64.3147,104.44015,122.30053
2652,43.792416,46.130917,2.5016587,26.836027,2.9653463,344.01138,64.530365,103.62237,123.41714
2653,43.673145,45.879738,2.5397165,26.940224,2.9891977,344.72864,64.50151,103.690735,124.76324
2654,43.36284,45.871265,2.5588923,27.481775,3.013524,347.88132,64.48097,104.50133,126.669365
2655,43.477936,45.88767,2.5321615,28.249033,3.008091,349.2916,64.58321,105.46736,129.96344
2656,43.166176,45.780037,2.502989,27.57263,3.0144892,351.48743,64.38593,105.293,130.96608
2657,42.89288,45.450493,2.4423723,27.451378,2.995184,348.90942,64.06842,104.91585,131.2546
2658,42.358006,44.256863,2.518399,27.077602,3.0110059,349.6288,63.98216,104.92424,133.2354
2659,41.383423,42.664722,2.465073,27.185007,3.0220683,350.9244,63.604977,105.6435,133.89114
2660,40.709663,41.97261,2.4113774,27.094145,3.0271885,352.13617,63.501522,105.45369,132.16202
2661,40.096016,41.4982,2.3479567,27.149231,3.0098584,355.8803,63.528687,105.83865,131.25279
2662,39.47185,40.92972,2.299267,27.188177,3.034373,362.24197,63.82369,105.77574,131.63321
2663,39.141994,40.404236,2.2936025,26.95104,3.0690804,360.67798,64.44475,106.6035,127.12928
2664,38.871548,40.718746,2.3579795,27.733889,3.0636632,364.4645,64.687096,106.973885,124.43962
2665,39.182114,41.79343,2.2774415,27.215796,3.0499036,369.17517,64.83283,107.21295,122.41458
2666,39.879173,42.696396,2.1376395,27.419607,3.0688064,373.29358,64.86579,107.189186,119.56276
2667,40.515713,43.436802,2.095764,27.299837,3.079734,376.94254,64.47025,107.44876,117.389755
2668,40.22564,43.16147,1.9301664,26.362238,3.0726566,374.499,64.48298,106.95906,115.07094
2669,39.950455,42.570522,1.8622888,25.65133,3.0645783,372.06662,64.534706,106.77444,112.07459
2670,40.109947,42.801895,2.0238645,24.719486,3.0476332,371.3655,64.26929,107.25584,110.76599
2671,40.50956,42.9095,2.1612618,24.102877,2.9965365,367.8956,64.43555,107.807274,111.80513
2672,40.664913,42.957634,2.1528971,23.683266,2.9849489,368.2777,64.45844,107.69031,112.2762
2673,40.695843,43.164276,2.1612713,23.501377,2.979691,368.9947,64.5429,108.27659,110.65721
2674,40.542965,42.461136,2.3925478,23.866873,2.9902496,368.22528,64.34761,109.00194,110.35462
2675,40.67697,42.231495,2.438657,23.834082,3.0080497,374.1442,64.40158,108.68401,110.21579
