,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
2593,92.6276,122.44599,53.109158,62.18899,39.425175,86.277664,34.498764,100.97902,47.5156,46.923897
2594,92.444336,124.367966,53.30118,63.25222,40.162285,86.11585,34.26945,101.645424,48.87563,48.496685
2595,92.637215,126.412254,54.166294,63.301617,40.74423,86.098305,34.811794,102.16109,49.283264,49.55412
2596,91.87285,126.972404,54.204506,63.326797,40.92402,87.54442,34.817818,102.489624,49.51288,50.450554
2597,91.695,125.048325,53.94118,63.18189,41.19206,87.711136,34.26367,105.627945,49.01236,50.82817
2598,90.97995,120.582695,52.916164,61.867023,40.616634,86.30913,33.81611,104.22095,47.56827,50.525337
2599,90.34581,118.556015,52.205906,61.267277,40.248108,85.2011,33.581146,103.93338,46.663376,49.8988
2600,90.82955,117.88397,52.262184,59.825584,40.156628,84.88286,32.769367,106.124725,47.089172,50.333138
2601,90.633385,118.59577,53.456425,60.502953,39.89388,85.45517,32.08987,106.05509,46.714264,49.091793
2602,91.07704,117.85701,52.54596,59.763668,39.77022,87.64318,32.246902,104.21012,47.28337,48.674824
2603,91.252914,119.97911,53.024002,59.44892,40.01377,89.36815,31.573837,106.553,47.489212,47.56152
2604,92.00592,119.06276,53.53894,59.04102,40.369595,90.316536,31.569407,106.178505,46.305176,46.753662
2605,91.54489,118.19363,54.184868,59.84759,40.472977,90.986855,31.990555,108.26632,45.627426,48.190548
2606,91.68246,115.257935,54.58791,58.91414,40.49201,90.40235,32.378807,107.75566,45.140614,48.133347
2607,90.28236,114.75656,55.147938,59.121098,39.943413,90.094666,31.707531,109.07342,44.991528,47.87031
2608,89.55597,113.37448,54.898994,58.326862,39.859436,89.904686,31.377827,109.640015,45.174583,46.99029
2609,90.79715,114.44924,54.195038,57.65899,39.309288,89.03493,30.775858,108.80207,44.731186,45.84912
2610,90.22989,113.5101,54.767006,57.565254,39.22276,88.10761,30.862482,106.844215,45.010124,45.67065
2611,89.84332,115.00479,54.364124,58.523632,39.22323,88.38947,31.153662,108.17003,45.207226,45.326477
2612,91.17002,115.970665,55.22195,57.410492,38.76987,87.96866,31.701405,107.60956,45.040844,44.153183
2613,91.198975,114.63827,55.508675,57.941746,38.751225,87.648155,32.382835,106.51709,44.537483,43.9264
2614,92.36335,115.951866,55.880333,58.397762,39.26064,87.25853,33.085663,108.07923,44.614277,44.92988
