,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,36.03934,38.311623,1.8482245,17.862299,2.4793282,330.93927,59.61428,96.79642,99.72665
2594,37.09787,39.23088,1.8239839,17.596096,2.5194342,331.96393,60.18531,94.903114,100.096634
2595,37.68972,39.89968,1.7994362,17.753582,2.5375965,334.52838,60.31034,94.359024,100.3912
2596,37.780506,39.393288,1.8190444,17.813675,2.5619352,333.20032,60.427586,95.41182,99.57425
2597,38.813316,39.907825,1.7879069,17.713842,2.6074786,331.9049,60.346504,97.119484,98.58485
2598,38.46385,39.42761,1.7904986,17.784437,2.6039505,332.2477,60.49018,96.4619,98.165085
2599,38.09156,38.522972,1.8096157,17.639977,2.5937204,332.8005,60.280437,96.511986,97.53106
2600,38.282036,39.0108,1.7675986,17.394585,2.5771534,333.64676,59.711117,96.82664,95.82503
2601,38.277237,40.541817,1.692147,17.48828,2.5715616,333.098,60.243362,97.871925,94.540726
2602,38.03119,40.33912,1.6872962,17.532269,2.5711553,334.30417,60.606663,96.83569,96.21531
2603,37.768234,40.50594,1.6991028,17.537176,2.5968428,334.81726,60.946033,96.677124,95.97843
2604,38.874058,41.86716,1.6820618,17.753233,2.6087215,334.9667,61.314903,96.37914,95.63078
2605,39.165466,41.523663,1.6922668,17.78447,2.6361966,333.7565,61.845898,95.89169,95.91735
2606,39.112465,41.618664,1.7111762,17.881516,2.6457114,332.42807,62.530716,94.453255,96.497
2607,38.373764,41.159065,1.6963546,17.770044,2.625498,331.67557,62.05184,94.74351,97.397804
2608,39.19301,40.399574,1.6622928,17.785519,2.643551,327.62845,62.271873,95.35444,96.37811
2609,40.205948,40.810894,1.6500257,17.731747,2.6494586,325.99506,61.66428,95.08685,96.2756
2610,39.328693,40.623886,1.6802583,17.775135,2.6595078,328.26544,61.13996,95.606186,98.20322
2611,40.029556,41.15662,1.7152957,18.13527,2.6803436,334.50192,60.98126,94.501175,98.67691
2612,40.23247,41.589897,1.7398902,18.09108,2.7022743,341.5742,61.679394,96.419174,101.1627
2613,40.158104,42.34069,1.7275286,18.03133,2.7195485,342.5681,62.75279,98.78753,101.82514
2614,40.40448,43.193306,1.7672685,18.301321,2.7410848,344.56708,62.843254,99.34023,100.572395
2615,40.21576,42.725407,1.8231288,18.243458,2.764072,346.17206,63.191486,100.47332,100.00985
2616,40.301777,42.85839,1.8205849,18.413616,2.7783952,348.37607,63.969833,100.59339,98.710075
2617,39.96229,43.045097,1.7999405,18.597273,2.796335,349.0824,63.893074,99.98892,98.82479
2618,40.156967,42.59305,1.8014389,18.676895,2.8297017,346.6653,64.24165,99.7338,98.12956
2619,40.958996,42.142326,1.7966449,19.025164,2.882792,341.93192,63.812298,99.81931,97.52726
