,ABT,IBM,ORCL,INTC,MO,NVS,PFE,TMUS,KO,XOM
2593,92.556885,122.664024,52.744007,62.151363,39.34192,85.01331,34.73363,97.98393,46.762234,47.548515
2594,92.00672,124.73412,52.93416,62.516933,40.001225,84.97966,34.72789,98.898796,46.98671,48.563763
2595,91.98751,126.170296,53.35289,62.801563,40.56453,85.11965,34.775463,99.42064,47.69634,49.077988
2596,92.62549,126.33471,53.654564,62.583717,40.851837,85.496445,34.590702,99.655975,48.11439,49.30024
2597,92.629814,125.93012,53.836678,63.12668,41.123547,85.992355,34.677296,99.88979,48.146168,49.830727
2598,92.1757,123.07682,53.27697,61.834877,40.986046,85.80062,34.043488,99.42848,47.60296,49.23542
2599,91.39141,121.30944,52.73955,60.981537,40.699512,85.50036,33.52642,100.52287,47.09504,49.050083
2600,91.28904,119.83195,52.56548,60.402203,40.59928,85.071526,32.947865,101.6174,46.822968,49.493713
2601,90.90362,120.07296,52.96327,60.19084,40.69167,84.9943,32.728233,102.21902,46.68543,49.430992
2602,91.44302,120.027565,52.84451,59.855602,40.836884,85.6344,32.621483,102.233185,46.22015,49.53309
2603,91.315956,120.08296,53.307255,59.445793,40.81229,86.425644,32.272003,103.60611,46.301514,49.601357
2604,91.60096,118.144684,53.47805,58.909317,40.9301,87.572754,32.1426,103.395515,46.25651,49.273674
2605,91.77019,117.0119,53.88122,59.24844,40.8826,87.68879,32.085487,104.42776,46.050037,48.715916
2606,91.16306,115.415085,53.938778,59.100464,40.827114,87.81741,31.916584,104.791855,45.957375,48.32728
2607,91.20435,114.83964,54.024094,58.841663,40.627853,87.60126,31.61468,105.36333,45.718674,47.226265
2608,90.66439,114.58369,53.96612,58.293125,40.384792,87.87196,31.279179,105.66634,45.280983,46.930073
2609,90.56196,113.476234,53.929485,57.544613,39.94439,87.907715,31.02214,106.17537,45.085403,46.572727
2610,90.50874,113.9571,54.05463,57.480194,39.827118,87.954285,31.123968,106.43698,44.686367,46.160538
2611,90.556725,114.13886,54.23979,57.897068,39.842876,88.00448,30.885187,106.30203,44.54427,46.56296
2612,91.131615,114.2105,54.72448,58.242123,39.744785,87.947266,31.186155,106.22466,44.637745,46.241142
2613,91.3092,114.04804,55.10228,58.04272,39.917004,87.56785,31.536379,106.06683,44.554893,46.58388
2614,91.13165,114.08797,55.179577,58.04045,39.98856,87.29028,31.93644,106.93443,44.61348,46.56062
2615,91.659485,113.94819,55.410778,57.87934,40.095013,87.22381,31.956453,106.53113,44.879307,46.336094
2616,91.890205,113.61388,55.82553,58.062107,39.925083,87.532616,31.947828,106.99665,45.12378,45.81715
2617,92.39163,113.35563,55.93084,58.177856,39.629326,87.474724,31.782513,107.30916,45.17906,45.557827
2618,92.790634,113.66645,56.00456,58.72517,39.663692,87.509964,31.997517,107.64137,44.968575,45.25731
2619,93.0238,114.21193,56.271484,58.51504,39.926594,87.06705,32.128468,107.87991,44.812923,45.178318
2620,93.209656,115.33869,56.3511,58.580147,40.20351,87.16828,32.49983,108.42385,45.119213,45.32122
2621,93.9838,116.51436,56.503555,58.29687,40.362858,87.11474,32.868282,108.18595,45.084682,45.391598
2622,94.536224,117.5712,56.51093,58.3649,40.641968,87.01665,33.15989,108.26107,45.318222,46.2444
2623,95.218155,118.71141,56.306126,59.054947,41.018368,87.402405,33.44129,108.13566,45.800667,46.153137
2624,95.958984,118.63766,56.086594,59.8264,40.94283,87.47773,33.66806,108.286125,46.124367,46.50447
2625,96.494415,119.94657,56.1336,59.971165,41.076363,86.9584,33.89807,108.24028,46.50082,46.438656
2626,97.07581,120.825584,55.91776,60.48842,41.095566,86.51944,34.43281,107.986176,46.73364,45.972023
2627,97.62163,121.90826,55.867558,60.22502,41.204258,86.157486,34.800346,107.82946,46.756195,46.05667
2628,98.38015,122.217445,55.709145,57.053585,41.405926,85.64825,34.89044,108.586136,47.34267,46.689438
2629,98.875534,122.77742,55.653145,54.820564,41.60895,85.44368,35.02936,108.597206,47.3103,47.03851
2630,99.110085,122.01245,55.485443,52.447525,42.00395,85.20944,35.299015,108.553734,47.464836,47.074425
2631,99.62927,121.87577,55.081734,50.417377,41.914585,84.80859,35.59383,108.71097,47.650997,47.105347
2632,100.25713,121.1284,55.078312,48.80788,41.914337,84.76089,35.867477,109.31966,47.667675,46.766117
2633,100.33131,119.93519,55.130306,47.45173,41.94961,84.19813,36.016598,109.31872,47.57526,46.695473
2634,100.72989,120.260315,55.25744,46.46681,41.89379,83.90655,36.055347,109.235466,47.279545,46.687122
2635,100.273544,119.95256,55.41087,46.69918,41.81743,83.68094,35.95222,109.4043,47.17493,46.17073
2636,100.5284,120.13172,55.41727,46.82686,41.768444,83.8315,36.135925,109.68199,47.03661,46.500206
2637,101.026474,121.01065,55.251335,46.932907,41.92083,83.47962,36.189354,110.02812,46.7613,46.54584
2638,101.339745,120.6014,55.057575,46.43343,42.054077,83.46982,36.205524,110.63801,46.86312,46.320335
2639,101.51027,121.23377,54.88898,46.759457,42.323986,83.17229,36.301586,111.3316,46.974804,46.751053
2640,101.09144,121.491875,54.666767,47.063793,42.709312,82.79374,36.33415,111.901436,47.027348,46.749794
2641,100.74572,121.578674,54.512455,47.698776,42.875614,82.88931,36.376793,112.553604,47.231304,46.79982
2642,100.83773,121.827995,54.406544,48.080265,42.910236,83.19813,36.35146,113.13294,47.358067,46.635876
2643,100.902664,121.179245,54.3694,48.25347,42.890495,83.303474,36.240036,113.71977,47.68699,46.648087
2644,101.152504,120.86405,54.25378,48.269577,42.964073,83.81276,36.421272,114.61866,47.7222,46.738747
2645,100.76049,120.64562,54.436153,48.45797,43.13181,83.717224,36.500805,115.023315,47.798103,46.53251
2646,100.682014,120.34713,54.84768,48.125385,43.335354,83.708984,36.38973,115.129166,47.71402,46.406338
2647,101.021965,120.259575,54.953266,49.152462,43.476646,84.085205,36.4539,115.06035,47.61395,46.5467
2648,100.93466,119.69349,54.903023,49.499283,43.652073,84.28747,36.557648,115.20067,47.644043,46.59301
2649,101.421104,119.99151,54.90915,49.806286,43.886982,84.5053,36.601284,115.76838,47.78908,46.27703
2650,101.26971,120.26848,54.96225,49.964005,43.960346,84.974014,36.541653,115.940796,47.845787,46.080776
