,CL=F,BZ=F,NG=F,SI=F,HG=F,ZC=F,CT=F,LE=F,KC=F
2593,30.587778,39.015217,1.7873989,18.12974,2.4641457,323.72427,60.060455,97.519516,98.45433
2594,31.321463,39.601963,1.8101894,17.75954,2.4766574,325.1452,60.68242,97.197334,98.553116
2595,32.07224,39.847324,1.7943769,17.741127,2.5012596,327.27286,60.881935,96.83272,98.584465
2596,32.568977,40.542923,1.804476,17.63496,2.525148,327.0989,60.738136,97.16181,98.011246
2597,33.35756,40.64667,1.807014,17.707272,2.5568583,327.25885,60.575466,96.55497,97.437645
2598,34.141598,40.283787,1.8233998,17.79085,2.5681195,327.79782,60.30912,96.87849,97.023636
2599,34.260864,40.41968,1.7963182,17.756416,2.5766826,327.86017,60.03275,96.94806,96.25844
2600,34.555733,40.449947,1.7549452,17.727306,2.5809462,327.9915,59.887283,96.87481,95.52469
2601,34.79176,40.878513,1.7166922,17.710125,2.584069,328.12585,59.655888,96.54283,95.0558
2602,35.1875,40.611126,1.6595994,17.58022,2.588993,328.93524,60.54062,96.40018,95.443634
2603,35.388493,41.28539,1.6592386,17.495726,2.5982049,329.36478,60.740463,96.55353,95.11108
2604,35.642723,41.83627,1.6610056,17.603798,2.610894,330.0383,61.206062,96.40421,95.177574
2605,36.158638,42.072205,1.6682634,17.70592,2.609255,330.044,61.856937,96.2417,95.73095
2606,36.680775,42.36763,1.6637211,17.85891,2.6215165,328.0676,62.424847,96.12483,96.18926
2607,36.935028,41.802002,1.6265156,17.890036,2.6179233,327.17426,61.981205,96.0318,95.96075
2608,37.33495,41.651447,1.5703012,18.016972,2.6277444,325.90927,61.756107,96.00322,96.05887
2609,37.612434,41.651806,1.5335792,17.96632,2.6397512,324.72943,61.21916,96.23995,96.3666
2610,37.799,41.516098,1.6362327,17.901226,2.6490169,325.0916,60.71415,96.5897,97.11656
2611,38.187965,41.999054,1.6878258,18.084284,2.667185,327.70203,60.499844,95.919235,98.07667
2612,38.09426,41.937607,1.6861793,18.080736,2.683597,330.9592,61.180153,95.39769,99.83462
2613,38.291294,42.64627,1.7025528,18.16669,2.6920197,332.7999,62.024303,95.6726,101.32829
2614,38.42044,43.135227,1.7446395,18.32944,2.7057104,336.29422,62.836014,96.001526,100.785835
